model_name,subset_name,binning_strategy,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,actual_up_ratio,probability_actual_gap,ece,mce,ece_definition
xgb_depth3_regularized_v1,DENSE,equal_frequency,0,0.31776368618011475,0.44679784774780273,52475,0.4220471214998217,0.4434302048594569,-0.02138308335963518,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,1,0.4467978775501251,0.46713200211524963,52475,0.45775894192186295,0.4596474511672225,-0.0018885092453595487,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,2,0.4671322703361511,0.4780248701572418,52475,0.47219610122228134,0.4700905192949023,0.00210558192737903,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,3,0.47802498936653137,0.4934800863265991,52475,0.4853707686431525,0.48928060981419724,-0.003909841171044759,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,4,0.49348074197769165,0.5096870064735413,52474,0.5016410791047459,0.5031253573198156,-0.0014842782150696898,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,5,0.5096871852874756,0.5262376666069031,52475,0.5174900651341566,0.5162267746545974,0.0012632904795591982,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,6,0.5262380838394165,0.5421450138092041,52475,0.5342495085649004,0.521905669366365,0.012343839198535433,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,7,0.5421456098556519,0.5563740134239197,52475,0.5489999411559321,0.5461267270128632,0.0028732141430688474,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,8,0.5563761591911316,0.5781599879264832,52475,0.5668698504767343,0.5531205335874226,0.013749316889311691,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_regularized_v1,DENSE,equal_frequency,9,0.5781610012054443,0.7959116697311401,52474,0.6011683574074783,0.5797156687121241,0.021452688695354216,0.008245352047986185,0.021452688695354216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,0,0.3289624750614166,0.4473503828048706,52475,0.42260535786468795,0.4438113387327299,-0.02120598086804193,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,1,0.4473508298397064,0.4671148955821991,52475,0.45778727003027564,0.45957122439256787,-0.0017839543622922283,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,2,0.4671148955821991,0.47803446650505066,52475,0.4720881649316521,0.4704716531681753,0.0016165117634768245,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,3,0.47803500294685364,0.49351754784584045,52475,0.4854520689873198,0.4892615531205336,-0.003809484133213803,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,4,0.49351766705513,0.5097597241401672,52474,0.5017232800198387,0.5012958798643138,0.00042740015552489297,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,5,0.5097607374191284,0.526194155216217,52475,0.5175030370290192,0.5171796093377798,0.0003234276912393863,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,6,0.5261944532394409,0.542229175567627,52475,0.5342493314093326,0.5220962363030014,0.012153095106331224,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,7,0.5422292947769165,0.5565083622932434,52475,0.5490985968818319,0.5461838970938542,0.002914699787977759,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgb_depth3_v1,DENSE,equal_frequency,8,0.5565083622932434,0.5778408050537109,52475,0.5668163657517817,0.5538637446403049,0.01295262111147688,0.007932344431285578,0.022136396996135344,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
