fold_name,model_name,subset_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio
fold_2020,xgb_depth3_regularized_v1,OFFSET_00,8721,4520,4201,0.5182891870198372,0.5610595115239078,0.5600850408562648,0.5843761388459975,,0.5924715904603787,1.1431293673462306,0.12028990854993445,0.575021682567216,0.5867256637168141,0.580814717477004,0.5334444179957153,0.545388172304697,0.6818389794293546,0.24440081781747858,2241,1960,1868,2652,0.5068536028616227,0.528838435959179
fold_2020,xgb_depth3_regularized_v1,OFFSET_05,8721,4497,4224,0.5156518747850017,0.5460382983602798,0.5450935882760224,0.5737701396890856,,0.5827632000317856,1.13014851400427,0.09032343497946853,0.5580241587575496,0.5752724038247721,0.5665170261688383,0.5149147727272727,0.5324357405140759,0.6843722419155298,0.24566195315059064,2175,2049,1910,2587,0.5068203696600684,0.5315904139433552
fold_2020,xgb_depth3_regularized_v1,OFFSET_10,8721,4509,4212,0.5170278637770898,0.5467262928563238,0.5456174545495902,0.5675477155849744,,0.5744372977013634,1.1110374081289844,0.09139494784123187,0.5596822670674109,0.5781769793745841,0.5687793171157411,0.5130579297245964,0.5318730002461236,0.6861083206871137,0.24650272723652958,2161,2051,1902,2607,0.5071261957716661,0.5341130604288499
fold_2020,xgb_depth3_regularized_v1,OFFSET_15,8721,4526,4195,0.5189771815158812,0.5494782708404999,0.5482661165234164,0.5720197750304556,,0.5850487094920735,1.1273110462837765,0.09668343689445312,0.564124597207304,0.5802032699955811,0.5720509748393421,0.5163289630512515,0.5327102803738317,0.6848627294419329,0.24589895852604626,2166,2029,1900,2626,0.5069868148719617,0.5337690631808278
fold_2020,xgb_depth3_regularized_v1,OFFSET_20,8721,4551,4170,0.521843825249398,0.5444329778695104,0.5431552714321621,0.5606212986104195,,0.5759884417554215,1.1037563613599277,0.08639576665072041,0.562392055267703,0.5724016699626455,0.5673527169770228,0.5139088729016786,0.5240890193201272,0.6880621021862316,0.24745880002630324,2143,2027,1946,2605,0.5066297252426152,0.5311317509459924
fold_2020,xgb_depth3_regularized_v1,OFFSET_25,8720,4498,4222,0.5158256880733945,0.5425458715596331,0.5414004202931184,0.5563698082352091,,0.5660537556690729,1.0973741105901103,0.08299310212481602,0.5542991252400256,0.5775900400177857,0.5657049537289058,0.505210800568451,0.5288866848499876,0.6893376367860353,0.24808436644481474,2133,2089,1900,2598,0.5072839299028893,0.5375
fold_2020,xgb_depth3_regularized_v1,OFFSET_30,8724,4540,4184,0.5204034846400734,0.5419532324621733,0.5405238963620589,0.5583609365655613,,0.5687829507974371,1.0929653001667052,0.08119907777764629,0.5580948312686886,0.5755506607929516,0.5666883539362394,0.5054971319311663,0.5232558139534884,0.6887197249639249,0.247776498097622,2115,2069,1927,2613,0.5073450469146732,0.536680421824851
fold_2020,xgb_depth3_regularized_v1,OFFSET_35,8724,4531,4193,0.5193718477762495,0.5375974323704723,0.5365108887904366,0.5535645661814157,,0.5685176917015196,1.094625544560595,0.07309392803177765,0.5537995237064299,0.5645552858088723,0.5591256830601092,0.508466491772001,0.5193666260657734,0.6899785605991564,0.24840047377488064,2132,2061,1973,2558,0.5065625562327873,0.5294589637780834
fold_2020,xgb_depth3_regularized_v1,OFFSET_40,8723,4525,4198,0.5187435515304368,0.5365126676602087,0.5354171547092933,0.5563830184855193,,0.5740425965388964,1.1066018938361974,0.07091703095234152,0.5520743301642178,0.5646408839779006,0.5582869004697913,0.506193425440686,0.518925518925519,0.688941525469148,0.2479031097100856,2125,2073,1970,2555,0.5070953713116071,0.5305514157973175
fold_2020,xgb_depth3_regularized_v1,OFFSET_45,8723,4469,4254,0.5123237418319385,0.5359394703656999,0.5351654341778598,0.5552519877044632,,0.5699778361459601,1.1125344964648043,0.07045640443644817,0.5453370665517984,0.5665697023942716,0.5557506584723442,0.503761165961448,0.5252450980392157,0.6895275129641601,0.2481957487092074,2143,2111,1937,2532,0.507527880246768,0.5322710076808438
fold_2020,xgb_depth3_regularized_v1,OFFSET_50,8722,4508,4214,0.5168539325842697,0.5456317358404036,0.5444610098842368,0.5633082977727936,,0.5773784658389025,1.1171018143404852,0.08910572129104442,0.5582638443446654,0.5791925465838509,0.5685356559608057,0.5097294731846227,0.5310259579728059,0.6874692056825265,0.24716951255611816,2148,2066,1897,2611,0.5070156861311031,0.5362302224260491
