fold_name,subset_name,model_name,baseline_model_name,xgb_roc_auc,baseline_roc_auc,delta_roc_auc,xgb_average_precision,baseline_average_precision,delta_average_precision,xgb_log_loss,baseline_log_loss,delta_log_loss,xgb_brier_score,baseline_brier_score,delta_brier,xgb_accuracy,baseline_accuracy,delta_accuracy,xgb_mcc,baseline_mcc,delta_mcc,sample_count,delta_direction_note
fold_2020,DENSE,xgboost_fixed_v1,logistic_regression_l2,0.564555399479249,0.5574944775399141,0.007060921939334941,0.5766534721055995,0.568806215678112,0.007847256427487515,0.6868616047389247,0.6881258178431385,-0.0012642131042138738,0.24687283523069423,0.24749415772779748,-0.0006213224971032549,0.546468188376026,0.5412896630136724,0.0051785253623535255,0.09096843867809003,0.08044140736564893,0.010527031312441093,104663,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,NONOVERLAP_OFFSET_00,xgboost_fixed_v1,logistic_regression_l2,0.5845442404147347,0.5753415748041448,0.00920266561058991,0.5918006808747902,0.5840244674288846,0.007776213445905622,0.6818370540721608,0.6841660228940893,-0.0023289688219285676,0.2443963182822179,0.24553608425374798,-0.0011397659715300934,0.559568856782479,0.5492489393418186,0.010319917440660409,0.11728110080904854,0.09650719577194158,0.02077390503710695,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_00,xgboost_fixed_v1,logistic_regression_l2,0.5845442404147347,0.5753415748041448,0.00920266561058991,0.5918006808747902,0.5840244674288846,0.007776213445905622,0.6818370540721608,0.6841660228940893,-0.0023289688219285676,0.2443963182822179,0.24553608425374798,-0.0011397659715300934,0.559568856782479,0.5492489393418186,0.010319917440660409,0.11728110080904854,0.09650719577194158,0.02077390503710695,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_05,xgboost_fixed_v1,logistic_regression_l2,0.5735792243229493,0.5671643048227437,0.0064149195002055626,0.5842195897562495,0.5737758395931454,0.01044375016310417,0.6842886606785953,0.685967762901251,-0.0016791022226557706,0.24562007562386562,0.24643507989948915,-0.0008150042756235321,0.5479876160990712,0.5434009861254443,0.00458662997362691,0.0943197238701013,0.08527139373222015,0.009048330137881158,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_10,xgboost_fixed_v1,logistic_regression_l2,0.5695984047521713,0.5583773362844849,0.011221068467686335,0.576483975387335,0.5669836859059888,0.00950028948134618,0.6855338090313833,0.6879376875118033,-0.0024038784804200075,0.24621614812623127,0.24739969525280708,-0.0011835471265758124,0.5503955968352253,0.5440889806214884,0.00630661621373696,0.09898433439220072,0.08625511599638547,0.012729218395815256,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_15,xgboost_fixed_v1,logistic_regression_l2,0.5726883002037756,0.5671197061923243,0.005568594011451267,0.5860062261402683,0.5787530591526779,0.007253166987590376,0.6845936473059658,0.6860255613312702,-0.0014319140253044038,0.24576255858756726,0.24645485162220912,-0.0006922930346418554,0.5507395940832474,0.5472996216030271,0.0034399724802202103,0.09933658127716104,0.09255626784069328,0.006780313436467761,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_20,xgboost_fixed_v1,logistic_regression_l2,0.5615877502348814,0.5552330712885196,0.006354678946361769,0.5775804211987222,0.5691784093576591,0.00840201184106315,0.6875296588772233,0.6886546808921375,-0.0011250220149142676,0.24720040982707828,0.24775424341090016,-0.0005538335838218833,0.5470702901043458,0.5405343423919275,0.006535947712418277,0.09164208458464332,0.07873709591881255,0.012904988665830772,8721,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_25,xgboost_fixed_v1,logistic_regression_l2,0.5573879458821531,0.5474024035947131,0.009985542287439975,0.5686012993021934,0.55893206850879,0.009669230793403427,0.6888253486682901,0.6903689865740299,-0.0015436379057397476,0.24783432860750532,0.2486030653970463,-0.0007687367895409802,0.5404816513761468,0.5383027522935779,0.0021788990825688526,0.0790423987255372,0.07453273805697075,0.004509660668566451,8720,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_30,xgboost_fixed_v1,logistic_regression_l2,0.5593737891779887,0.5536263592793188,0.005747429898669942,0.5711611752042189,0.5684575957449451,0.002703579459273797,0.6882595235703345,0.6887636821100919,-0.0005041585397573822,0.24755202108262553,0.24781731378428895,-0.0002652927016634221,0.5429848693259972,0.5387436955524989,0.004241173773498308,0.0834704556240284,0.07467623862545777,0.008794216998570623,8724,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_35,xgboost_fixed_v1,logistic_regression_l2,0.55383966709342,0.54776310298038,0.006076564113040028,0.5677602419268846,0.5635191675963747,0.0042410743305099086,0.6896833793440057,0.6902514216727443,-0.0005680423287386382,0.2482554010683434,0.24854778814038136,-0.000292387072037964,0.5413801008711601,0.5350756533700137,0.0063044475011463375,0.08078000705180555,0.06745632793180183,0.01332367912000372,8724,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2020,OFFSET_40,xgboost_fixed_v1,logistic_regression_l2,0.556547316664868,0.5512136007938534,0.00533371587101461,0.572887025156278,0.5648078605628123,0.008079164593465693,0.6887246294090735,0.6893399917218516,-0.0006153623127780339,0.24779537774172877,0.24810580727938095,-0.00031042953765217374,0.538232259543735,0.5341052390232718,0.004127020520463209,0.07438780756911732,0.06576221621219312,0.0086255913569242,8723,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
