model_name,candidate_name,pooled_dense_auc,pooled_dense_logloss,pooled_dense_brier,nonoverlap_offset00_auc,nonoverlap_offset00_logloss,nonoverlap_offset00_brier,offset_macro_auc,offset_auc_std,offset_auc_min,offset_auc_max,offset_auc_range,offset_macro_logloss,offset_logloss_std,offset_logloss_max,offset_macro_brier,offset_brier_std,weakest_offset,strongest_offset,dense_fold_auc_mean,dense_fold_auc_std,dense_fold_auc_min,dense_fold_logloss_mean,dense_fold_logloss_std,nonoverlap_fold_auc_mean,nonoverlap_fold_auc_std,nonoverlap_fold_auc_min,nonoverlap_fold_logloss_mean,nonoverlap_fold_logloss_std,fold_auc_above_0_5_count,fold_auc_above_reference_count,fold_logloss_better_than_reference_count,dense_auc_fold_win_count,nonoverlap_auc_fold_win_count,dense_logloss_fold_win_count,nonoverlap_logloss_fold_win_count,best_year,worst_year,worst_year_auc,has_fold_auc_below_0_5,mean_best_n_estimators,median_best_n_estimators,std_best_n_estimators,min_best_n_estimators,max_best_n_estimators,delta_pooled_dense_auc_vs_reference,delta_pooled_dense_logloss_vs_reference,delta_pooled_dense_brier_vs_reference,delta_offset_macro_auc_vs_reference,delta_offset_macro_logloss_vs_reference,delta_offset_macro_brier_vs_reference,delta_nonoverlap_offset00_auc_vs_reference,delta_nonoverlap_offset00_logloss_vs_reference,delta_nonoverlap_offset00_brier_vs_reference,max_depth,learning_rate,reg_alpha,reg_lambda,min_child_weight
xgb_fixed_v1_reference,xgb_fixed_v1_reference,0.5492648211986565,0.6895485331227232,0.2482025365512343,0.5654169479222804,0.6864704693643817,0.24667902305083836,0.5492423758792406,0.0074345856533239146,0.5412827283786978,0.5654169479222804,0.024134219543582525,0.6895485006143782,0.0014199707013878146,0.6911280519749579,0.2482025204729923,0.0007025281180229134,OFFSET_40,OFFSET_00,0.5493703453366174,0.013612882625990676,0.5307575372136961,0.6895487894767971,0.0021211613497062343,0.5658826492364858,0.014697382410706039,0.5474937518380822,0.6864688678202807,0.0032192429739851813,5,0,0,0,0,0,0,fold_2020,fold_2021,0.5307575372136961,False,84.4,91.0,48.0967774388264,32,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.03,0.1,10.0,20.0
xgb_depth3_v1,xgb_depth3_v1,0.5481969914565763,0.6897114441690678,0.2482836699113954,0.5647145636090296,0.6866371717730586,0.24676189254149056,0.5481769699573347,0.007391131210896064,0.5406291100713772,0.5647145636090296,0.024085453537652457,0.6897114148250841,0.001377272075371427,0.6911622211496616,0.24828365540511213,0.0006815010594855143,OFFSET_40,OFFSET_00,0.548460220572011,0.01383640859921399,0.5295580284247458,0.689711693805848,0.002022043055228815,0.5652924871815985,0.015109449106314609,0.5467557255931669,0.6866351889589379,0.0032954535567516546,5,0,0,0,1,0,0,fold_2020,fold_2021,0.5295580284247458,False,113.8,86.0,107.55324262894169,28,293,-0.0010678297420801952,0.00016291104634458264,8.113336016107864e-05,-0.0010654059219059597,0.00016291421070591117,8.113493211983624e-05,-0.000702384313250759,0.00016670240867688868,8.286949065219873e-05,3,0.03,0.1,10.0,20.0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,0.5481980382255632,0.6896992363410271,0.2482782636158454,0.5646348460362602,0.6866256502684923,0.24675687773198082,0.5481774189099728,0.007356738758450371,0.5403341867150442,0.5646348460362602,0.024300659321216056,0.6896992073531631,0.0013765306381504382,0.6911399534794012,0.24827824928059894,0.0006811095401562841,OFFSET_40,OFFSET_00,0.5484030994452936,0.013756942529759994,0.5295504204251025,0.6896994320041923,0.0020113658423364924,0.5652182215520549,0.014996871434991543,0.5467248141889933,0.6866236724460002,0.0033055034843689933,5,0,1,0,0,1,0,fold_2020,fold_2021,0.5295504204251025,False,115.2,99.0,106.17297207858505,28,291,-0.001066782973093261,0.00015070321830390476,7.572706461109191e-05,-0.001064956969267783,0.00015070673878492258,7.572880760664535e-05,-0.0007821018860201256,0.0001551809041105967,7.785468114246408e-05,3,0.03,0.5,20.0,50.0
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,0.5490100418846459,0.689545362088716,0.24820178041374866,0.5651066875182806,0.6865418469185309,0.2467142327672324,0.548989195923996,0.007354577963012171,0.5411471644407504,0.5651066875182806,0.023959523077530243,0.6895453311450152,0.0013742067775836823,0.6910293270679915,0.24820176510639727,0.0006801854765662267,OFFSET_40,OFFSET_00,0.5493161925828868,0.01351947981201881,0.5308111813707117,0.6895455169431798,0.002124790469307183,0.5658817486459843,0.014580483483133035,0.5476402713668164,0.6865401933179229,0.003175986588752681,5,2,3,2,3,3,2,fold_2020,fold_2021,0.5308111813707117,False,74.0,70.0,41.75523919222593,29,120,-0.0002547793140106336,-3.171034007265483e-06,-7.561374856523972e-07,-0.0002531799552446534,-3.169469363073496e-06,-7.55366595023288e-07,-0.0003102604039997292,7.13775541492101e-05,3.5209716394035695e-05,4,0.03,0.5,20.0,50.0
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,0.5495003703100185,0.6896193081365267,0.24823615019954934,0.565608750969949,0.686442017712802,0.24666356963971545,0.549477842772074,0.007620266944949004,0.5408617677201182,0.565608750969949,0.024746983249830823,0.6896192720797093,0.0015006890881593307,0.6913568228955712,0.24823613236699069,0.0007425898090164069,OFFSET_35,OFFSET_00,0.5499471948439029,0.013233158591930276,0.5316863622987964,0.6896202442135919,0.0024441834124955836,0.5662521731981969,0.014781162798038682,0.54740868618363,0.6864410559999079,0.003343609464526228,5,4,4,4,3,4,3,fold_2020,fold_2021,0.5316863622987964,False,79.0,73.0,33.2490601370926,39,124,0.00023554911136203227,7.077501380348128e-05,3.3613648315028444e-05,0.0002354668928333803,7.077146533107648e-05,3.361189399839204e-05,0.0001918030476686372,-2.8451651579719517e-05,-1.5453411122912097e-05,5,0.03,0.5,20.0,50.0
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,0.5491878440464917,0.689495866250868,0.24817755335925412,0.5653301449010619,0.6865124609240914,0.24669992699518484,0.5491651397809698,0.007464701702348674,0.5413009777619398,0.5653301449010619,0.024029167139122176,0.6894958352878571,0.00137415759544175,0.6910013595086727,0.24817753803379247,0.0006804249882791818,OFFSET_35,OFFSET_00,0.5494000839546531,0.01357772524061177,0.5308219242937142,0.6894959703143893,0.002086764771494001,0.565963522048816,0.014726956276158847,0.547354584638218,0.6865108601792929,0.003191837269598556,5,3,3,3,2,3,2,fold_2020,fold_2021,0.5308219242937142,False,143.8,134.0,80.73846666862086,61,235,-7.697715216481438e-05,-5.2666871855233666e-05,-2.4983191980187947e-05,-7.723609827081646e-05,-5.2665326521150746e-05,-2.4982439199822126e-05,-8.680302121844008e-05,4.199155970963098e-05,2.0903944346478687e-05,4,0.015,0.1,10.0,20.0
