open_time,first_trade_time,last_trade_time,minute_first_offset_ms,minute_last_offset_ms,covered_duration_ms,has_trade_in_first_1s,has_trade_in_first_5s,has_trade_in_last_1s,has_trade_in_last_5s,agg_trade_count,first_agg_trade_id,last_agg_trade_id,agg_base_volume,agg_quote_volume,agg_active_buy_base_volume,agg_active_sell_base_volume,agg_active_buy_quote_volume,agg_active_sell_quote_volume,active_buy_base_ratio,active_buy_quote_ratio,trade_flow_imbalance_base,trade_flow_imbalance_quote,first_trade_price,last_trade_price,trade_high,trade_low,trade_vwap,active_buy_vwap,active_sell_vwap,trade_price_std_volume_weighted,trade_price_range_ratio,mean_trade_base_size,median_trade_base_size,p90_trade_base_size,p99_trade_base_size,max_trade_base_size,mean_trade_quote_size,median_trade_quote_size,p90_trade_quote_size,p99_trade_quote_size,max_trade_quote_size,vwap_first_1s,vwap_first_2s,vwap_first_5s,vwap_first_10s,vwap_last_1s,vwap_last_5s,first_1s_trade_count,first_5s_trade_count,first_10s_trade_count,last_1s_trade_count,last_5s_trade_count,internal_missing_agg_trade_id_count,id_gap_event_count,maximum_internal_id_gap,has_internal_id_gap,cross_minute_missing_agg_trade_id_count,cross_minute_id_gap_event_count,maximum_cross_minute_id_gap,has_any_id_gap,is_file_first_minute,is_file_last_minute,is_boundary_partial_minute,kline_open,kline_high,kline_low,kline_close,kline_base_volume,kline_quote_volume,kline_number_of_trades,kline_taker_buy_base_volume,kline_taker_buy_quote_volume,kline_continuity_segment_id,join_status,kline_vwap,base_volume_abs_error,base_volume_relative_error,base_volume_signed_relative_error,quote_volume_abs_error,quote_volume_relative_error,quote_volume_signed_relative_error,active_buy_base_abs_error,active_buy_base_relative_error,active_buy_quote_abs_error,active_buy_quote_relative_error,agg_to_kline_trade_count_ratio,trade_count_difference,first_price_vs_open_relative_error,last_price_vs_close_relative_error,high_relative_error,low_relative_error,agg_vwap_vs_kline_vwap_relative_error,first_price_minus_open_bps,last_price_minus_close_bps,agg_vwap_minus_kline_vwap_bps,high_minus_kline_high_bps,low_minus_kline_low_bps,vwap_first_1s_minus_open_bps,vwap_first_5s_minus_open_bps,vwap_first_10s_minus_open_bps,vwap_last_5s_minus_close_bps,max_abs_price_error_bps,volume_match_good,volume_match_warning,volume_match_severe,price_match_good,price_match_warning,price_match_severe,is_reliable_overlap_minute,max_volume_relative_error,open_time_utc
1662317160000,1662317160001,1662317165068,1,5068,5067,True,True,False,False,369,1500873871,1500874239,11.79795,233981.196671,3.6716,8.12635,72813.9587336,161167.2379374,0.3112066079276485,0.31119577029936896,-0.37758678414470315,-0.377608459401262,19837.57,19830.9,19837.57,19829.44,19832.360424565286,19831.669771652683,19832.672471330916,1.8251896792304971,0.000409936075482514,0.031972764227642274,0.01201,0.07565,0.2863591999999995,0.66322,634.0953839322493,238.1689889,1500.3681143000001,5679.155043983989,13152.3224522,19834.136425787965,19833.664563520364,19832.460927050568,19832.360424565286,,,155,352,369,0,0,0,0,0,False,0,0,0,False,False,True,True,19837.57,19837.57,19821.75,19827.41,86.10761,1707303.9387615,2400,36.38424,721420.9739104,33,both,19827.56156815292,74.30966,0.8629859776621369,-0.8629859776621369,1473322.7420905,0.8629528162157625,-0.8629528162157625,32.71264,0.8990881766391163,648607.0151768,0.8990686972421689,0.15375,-2031,0.0,0.00017601895557723378,0.0,0.0003879576727583937,0.00024202958068601256,0.0,1.7601895557723377,2.4202958068601257,0.0,3.8795767275839372,-1.7308441568371165,-2.5754530163884586,-2.6261157161455615,,3.8795767275839372,False,False,True,False,True,False,False,0.8629859776621369,2022-09-04T18:46:00+00:00
1662150960000,1662150960000,1662151019998,0,59998,59998,True,True,True,True,2056,1494566248,1494568449,109.3313,2177908.3861695,57.64988,51.68142,1148412.397904,1029495.9882654999,0.5272952942112643,0.5273005996013564,0.05459058842252859,0.054601199202713,19922.15,19922.97,19926.83,19916.16,19920.264244269485,19920.464672328893,19920.040669654587,1.504763628815387,0.0005356354649297064,0.05317670233463035,0.01206,0.1,0.6451270000000005,4.0984,1059.2939621446985,240.24738059999999,1992.0565000000001,12850.60224000001,81640.128,19921.865635476894,19922.34649171231,19922.37225212811,19920.390327963192,19923.44122906516,19922.05291669497,61,126,371,37,93,146,1,146,True,0,0,0,True,False,False,False,19922.15,19929.79,19916.16,19922.97,147.85049,2945473.7454828,2465,96.14907,1915579.3592173,33,both,19921.974864491825,38.51919000000001,0.26052798337022764,-0.26052798337022764,767565.3593132999,0.2605914788717583,-0.2605914788717583,38.49918999999999,0.40041146523830123,767166.9613133001,0.4004882165919569,0.8340770791075051,-409,0.0,0.0,0.00014852138431961033,0.0,8.586599641731864e-05,0.0,0.0,-0.8586599641731865,-1.4852138431961033,0.0,-0.14273786870784383,0.11156031257035853,-0.8832741630844092,-0.4603145540199309,1.4852138431961033,False,False,True,False,True,False,False,0.2605914788717583,2022-09-02T20:36:00+00:00
1662310800000,1662310800003,1662310859996,3,59996,59993,True,True,True,True,6059,1500615306,1500621780,435.32965,8668945.2521139,303.66453,131.66512,6047335.6629001,2621609.5892138,0.6975507641163426,0.6975860946203892,0.3951015282326853,0.3951721892407783,19890.41,19912.37,19943.24,19890.39,19913.51898983655,19914.52759695082,19911.19279892655,10.527438470134774,0.002653975925951397,0.0718484320845024,0.01559,0.12370999999999996,0.8751774000000002,27.08908,1430.7551167047202,310.3585486,2463.1401566599993,17429.179506846,539425.3918216,19892.10874302195,19892.249622493408,19895.905961453278,19896.390318046906,19913.356138887913,19912.725908315777,77,352,534,59,352,416,5,211,True,0,0,0,True,False,False,False,19890.41,19943.24,19890.39,19912.37,581.21773,11575193.4342957,7688,449.05571,8943686.9776665,33,both,19915.41695449604,145.88807999999995,0.25100418048155543,-0.25100418048155543,2906248.1821818016,0.25107556073931253,-0.25107556073931253,145.39117999999996,0.32377091920287565,2896351.3147663986,0.32384309983108184,0.788111342351717,-1629,0.0,0.0,0.0,0.0,9.530127658514608e-05,0.0,0.0,-0.9530127658514608,0.0,0.0,0.8540512849904842,2.7631212495258475,3.0066338737643807,0.1787372953485317,0.9530127658514608,False,False,True,True,False,False,False,0.25107556073931253,2022-09-04T17:00:00+00:00
1662147540000,1662147540000,1662147599997,0,59997,59997,True,True,True,True,4665,1494401083,1494405769,421.5899,8348564.4484423995,186.9141,234.6758,3700986.494146,4647577.9542964,0.4433552606454756,0.4433081300386316,-0.11328947870904882,-0.11338373992273681,19793.49,19813.62,19817.64,19781.26,19802.572235346244,19800.46713514925,19804.24890123481,9.463522774413837,0.00183713507354692,0.09037296891747053,0.01515,0.12199000000000035,1.1354283999999992,20.78614,1789.617245110911,299.9901674,2414.9710384200052,22476.29884078398,411773.4334,19791.60081054704,19791.146545491232,19788.932018178803,19785.536255410538,19814.626166521106,19815.3005519697,90,311,674,39,242,22,4,15,True,0,0,0,True,False,False,False,19793.49,19817.64,19781.26,19813.62,536.51292,10625188.2959477,5280,187.01012,3702888.0322385,33,both,19804.161092612085,114.92302000000001,0.21420363930844388,-0.21420363930844388,2276623.8475053012,0.21426668253715314,-0.21426668253715314,0.09602000000000999,0.0005134481492232077,1901.5380925000645,0.0005135283799954737,0.8835227272727273,-615,0.0,0.0,0.0,0.0,8.022845594975539e-05,0.0,0.0,-0.8022845594975538,0.0,0.0,-0.9544498989124479,-2.3027681430607054,-4.018363911298055,0.8481801759097533,0.8022845594975538,False,False,True,True,False,False,False,0.21426668253715314,2022-09-02T19:39:00+00:00
1662154560000,1662154560001,1662154619999,1,59999,59998,True,True,True,True,1099,1494668762,1494669890,31.88303,637018.0968237,14.10184,17.78119,281779.7592224,355238.3376013,0.4422992419478324,0.44234184339096555,-0.1154015161043351,-0.11531631321806894,19981.43,19975.38,19984.67,19974.16,19979.84811430093,19981.772536236407,19978.32190091327,2.851975878708476,0.0005260300248466695,0.029010946314831667,0.00736,0.08189,0.3148031999999999,0.93354,579.634301022475,147.0760576,1636.40787,6289.162288031997,18653.5855224,19980.239142627623,19980.33732747748,19980.76775662252,19981.550608314734,19975.80432403759,19976.168248556456,44,157,280,42,77,30,1,30,True,0,0,0,True,False,False,False,19981.43,19984.99,19974.16,19975.38,37.65376,752344.5724081,1243,19.87257,397106.2348068,33,both,19980.59615847395,5.770729999999997,0.15325773574803678,-0.15325773574803678,115326.4755844,0.15328943653472998,-0.15328943653472998,5.77073,0.29038669885173385,115326.4755844,0.2904171868278739,0.8841512469831054,-144,0.0,0.0,1.601201701894006e-05,0.0,3.743853121726391e-05,0.0,0.0,-0.37438531217263915,-0.1601201701894006,0.0,-0.595982055527382,-0.33142942095694433,0.06036020181415686,0.3946100431907045,0.37438531217263915,False,False,True,True,False,False,False,0.15328943653472998,2022-09-02T21:36:00+00:00
1662134400000,1662134400003,1662134459999,3,59999,59996,True,True,True,True,5368,1493239401,1493244980,310.21168,6319994.9385073995,209.68742,100.52426,4272328.1144371005,2047666.8240703,0.6759494677956678,0.6760018253188824,0.35189893559133556,0.3520036506377648,20355.85,20374.8,20387.3,20355.85,20373.16885846271,20374.746918232388,20369.87712289849,7.899628444728405,0.0015436970173119075,0.05778906110283159,0.013015,0.11789,0.7634878999999992,22.17401,1177.3463000200074,265.11987375,2402.98582232,15553.982662532984,452068.194073,20357.756928012986,20358.330742078742,20358.61679408374,20363.588561114826,20374.621302153748,20375.202534415726,118,319,1319,121,550,212,5,197,True,0,0,0,True,False,False,False,20355.85,20387.3,20355.85,20374.8,358.31328,7299941.045651,6402,257.78902,5252274.2215807,33,both,20373.068633266954,48.10160000000002,0.13424453595468194,-0.13424453595468194,979946.1071436005,0.1342402768755799,-0.1342402768755799,48.10159999999999,0.18659289678047572,979946.1071435995,0.1865755796064813,0.8384879725085911,-1034,0.0,0.0,0.0,0.0,4.919494336474222e-06,0.0,0.0,0.04919494336474222,0.0,0.0,0.9367960625510205,1.3592132402930082,3.801639879851474,0.1975648427111589,0.04919494336474222,False,False,True,True,False,False,False,0.13424453595468194,2022-09-02T16:00:00+00:00
1662302640000,1662302640000,1662302699998,0,59998,59998,True,True,True,True,1216,1500271692,1500272910,37.51345,739995.083521,19.15953,18.35392,377958.0911346,362036.9923864,0.5107376154419282,0.5107575706263109,0.021475230883856364,0.021515141252621814,19725.23,19726.92,19729.48,19723.76,19726.12712296523,19726.897848464967,19725.322567952786,1.4668264779711346,0.0002899707562637533,0.030849876644736842,0.006305,0.05,0.5053734999999991,1.03975,608.548588421875,124.36999434999998,986.3842500000001,9969.142831824982,20508.56967,19724.559213710312,19724.58286482995,19724.776326353785,19725.505310048997,19726.49488318508,19726.560403511638,112,165,281,64,119,3,1,3,True,0,0,0,True,False,False,False,19725.23,19729.48,19723.76,19726.92,42.87792,845809.2427021,1378,19.15953,377958.0911346,33,both,19725.98583844785,5.364470000000004,0.12511031318683377,-0.12511031318683377,105814.15918109997,0.12510404691613008,-0.12510404691613008,0.0,0.0,0.0,0.0,0.8824383164005806,-162,0.0,0.0,0.0,0.0,7.162355206835606e-06,0.0,0.0,0.07162355206835606,0.0,0.0,-0.34006512962707397,-0.22999663183352295,0.1395725418650117,-0.18228719352067832,0.07162355206835606,False,False,True,True,False,False,False,0.12511031318683377,2022-09-04T14:44:00+00:00
1662249540000,1662249540004,1662249599999,4,59999,59995,True,True,True,True,1297,1498216029,1498217375,54.57979,1082438.2507573,31.65343,22.92636,627766.6002646,454671.6504927,0.5799478158490533,0.5799560389014332,0.15989563169810658,0.15991207780286645,19830.97,19831.9,19836.46,19827.32,19832.217213684773,19832.49841374537,19831.828972968233,1.9584793398246791,0.00046086627135631447,0.04208156515034696,0.00986,0.1,0.4519579999999994,1.84622,834.5707407535082,195.56639520000002,1983.0794,8962.394153459987,36610.4318268,19832.941993693228,19832.799974958263,19832.777216828035,19831.669379547122,19832.41447637976,19832.126975084142,84,155,281,36,75,50,1,50,True,0,0,0,True,False,False,False,19830.97,19836.46,19825.39,19831.9,60.78719,1205507.0298892,1517,31.65343,627766.6002646,33,both,19831.596589498546,6.2074,0.10211690982919262,-0.10211690982919262,123068.77913190005,0.1020888108327427,-0.1020888108327427,0.0,0.0,0.0,0.0,0.8549769281476599,-220,0.0,0.0,0.0,9.734991341912019e-05,3.12947161579517e-05,0.0,0.0,0.312947161579517,0.0,0.9734991341912018,0.9944010268922687,0.9113103534694182,0.35267036716850986,0.1144494900340243,0.9734991341912018,False,False,True,True,False,False,False,0.10211690982919262,2022-09-03T23:59:00+00:00
1662080880000,1662080880000,1662080939999,0,59999,59999,True,True,True,True,3171,1490094895,1490098180,149.30661,2992289.8965693,62.51955,86.78706,1252931.9890301,1739357.9075392,0.41873263347148526,0.41872012149177223,-0.16253473305702937,-0.16255975701645548,20055.48,20038.16,20056.24,20033.71,20041.241955525613,20040.643111316378,20041.673350142293,4.7684537528076225,0.001124181827154214,0.047085023651844846,0.01301,0.1,0.572781,4.45129,943.6423514882687,260.8092583,2003.7880000000002,11478.14460747,89199.40031,20055.150400075287,20054.77649363438,20053.575452694095,20052.211629653993,20036.583242849065,20035.94475773612,67,194,353,103,394,115,2,114,True,0,0,0,True,False,False,False,20055.48,20056.24,20033.71,20038.16,165.85764,3323952.0343816,3924,62.51999,1252940.8046501,33,both,20040.994399664676,16.551029999999997,0.09979057943909003,-0.09979057943909003,331662.1378123001,0.09977945962568732,-0.09977945962568732,0.00043999999999755346,7.0377490463058846e-06,8.815620000008494,7.0359429330505124e-06,0.8081039755351682,-753,0.0,0.0,0.0,0.0,1.2352473934169753e-05,0.0,0.0,0.12352473934169753,0.0,0.0,-0.1643440719010294,-0.9496393533862058,-1.6296644837252077,-1.1055118153958199,0.12352473934169753,False,False,True,True,False,False,False,0.09979057943909003,2022-09-02T01:08:00+00:00
1662295560000,1662295560002,1662295619998,2,59998,59996,True,True,True,True,2951,1499928528,1499931596,141.14405,2801097.7462432,69.00943,72.13462,1369508.721686,1431589.0245572,0.48892907635851457,0.4889185761270807,-0.02214184728297086,-0.02216284774583872,19850.5,19850.28,19852.47,19835.0,19845.666510513194,19845.240305361167,19846.0742505776,3.9435921043429745,0.0008802929340139055,0.04782922738054896,0.0102,0.08564,0.592575,4.86357,949.2028960498814,202.45011,1700.0370708,11760.6219255,96541.86450000001,19850.4810645803,19850.50883948192,19851.243969118554,19847.87496365043,19851.017172242002,19850.653036047654,67,204,615,72,185,118,2,115,True,0,0,0,True,False,False,False,19850.5,19852.47,19832.64,19850.28,156.21928,3100116.980622,3656,69.09156,1371138.7762987,33,both,19844.650292985603,15.075230000000005,0.09650044475944329,-0.09650044475944329,299019.23437880026,0.09645417777712562,-0.09645417777712562,0.08213000000000648,0.0011887124852877323,1630.054612699896,0.001188832699415097,0.8071663019693655,-705,0.0,0.0,0.0,0.00011899575649034028,5.1208638730717394e-05,0.0,0.0,0.5120863873071739,0.0,1.1899575649034029,-0.009539013979052888,0.37478608526417484,-1.3224031382438823,0.18792482909800282,1.1899575649034029,False,False,True,False,True,False,False,0.09650044475944329,2022-09-04T12:46:00+00:00
