fold_name,model_name,subset_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio
fold_2020,xgboost_fixed_v1,DENSE,104663,54183,50480,0.5176901101630949,0.546468188376026,0.5454245616772158,0.564555399479249,,0.5766534721055995,1.113897022146953,0.09096843867809003,0.5604008131397629,0.57492202351291,0.5675685524278037,0.5159270998415214,0.5306870975629636,0.6868616047389247,0.24687283523069423,26044,24436,23032,31151,0.5071909424049333,0.5311045928360547
fold_2020,xgboost_fixed_v1,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.559568856782479,0.5585797892621437,0.5845442404147347,,0.5918006808747902,1.141834897767488,0.11728110080904854,0.5735644637053088,0.5856194690265487,0.5795292829775588,0.5315401094977387,0.5438382854359474,0.6818370540721608,0.2443963182822179,2233,1968,1873,2647,0.5068674870805038,0.529182433207201
fold_2020,xgboost_fixed_v1,OFFSET_00,8721,4520,4201,0.5182891870198372,0.559568856782479,0.5585797892621437,0.5845442404147347,,0.5918006808747902,1.141834897767488,0.11728110080904854,0.5735644637053088,0.5856194690265487,0.5795292829775588,0.5315401094977387,0.5438382854359474,0.6818370540721608,0.2443963182822179,2233,1968,1873,2647,0.5068674870805038,0.529182433207201
fold_2020,xgboost_fixed_v1,OFFSET_05,8721,4497,4224,0.5156518747850017,0.5479876160990712,0.5470987129045626,0.5735792243229493,,0.5842195897562495,1.132972880201079,0.0943197238701013,0.5600519368102143,0.5754947742939738,0.5676683483220004,0.5187026515151515,0.534390243902439,0.6842886606785953,0.24562007562386562,2191,2033,1909,2588,0.5068574899476734,0.529870427703245
fold_2020,xgboost_fixed_v1,OFFSET_10,8721,4509,4212,0.5170278637770898,0.5503955968352253,0.5494317632541186,0.5695984047521713,,0.576483975387335,1.1149959523958635,0.09898433439220072,0.5636088273474686,0.5777334220447993,0.5705837257693571,0.5211301044634378,0.5354964625518419,0.6855338090313833,0.24621614812623127,2195,2017,1904,2605,0.5072921589931043,0.5299850934525857
fold_2020,xgboost_fixed_v1,OFFSET_15,8721,4526,4195,0.5189771815158812,0.5507395940832474,0.5496033512108822,0.5726883002037756,,0.5860062261402683,1.1291560535062484,0.09933658127716104,0.5655454937473049,0.5795404330534688,0.5724574421649934,0.5196662693682956,0.5339211364192995,0.6845936473059658,0.24576255858756726,2180,2015,1903,2623,0.5071730189381656,0.5318197454420365
fold_2020,xgboost_fixed_v1,OFFSET_20,8721,4551,4170,0.521843825249398,0.5470702901043458,0.5457725316121526,0.5615877502348814,,0.5775804211987222,1.1068070431276766,0.09164208458464332,0.5648048307095105,0.5754779169413315,0.5700914235959947,0.5160671462829736,0.5269343780607247,0.6875296588772233,0.24720040982707828,2152,2018,1932,2619,0.5068484794764108,0.5317050796926958
fold_2020,xgboost_fixed_v1,OFFSET_25,8720,4498,4222,0.5158256880733945,0.5404816513761468,0.5394503983980248,0.5573879458821531,,0.5686012993021934,1.1023128790384897,0.0790423987255372,0.5527389903329752,0.572032014228546,0.5622200371462908,0.5068687825675036,0.5264452644526445,0.6888253486682901,0.24783432860750532,2140,2082,1925,2573,0.5074525794304839,0.5338302752293578
fold_2020,xgboost_fixed_v1,OFFSET_30,8724,4540,4184,0.5204034846400734,0.5429848693259972,0.5416743878505066,0.5593737891779887,,0.5711611752042189,1.0975352626611468,0.0834704556240284,0.5593729869014387,0.5737885462555066,0.566489072523649,0.5095602294455067,0.5242193262847308,0.6882595235703345,0.24755202108262553,2132,2052,1935,2605,0.5074863206391923,0.5338147638697845
fold_2020,xgboost_fixed_v1,OFFSET_35,8724,4531,4193,0.5193718477762495,0.5413801008711601,0.5403570642982389,0.55383966709342,,0.5677602419268846,1.093167148658164,0.08078000705180555,0.5575336517585757,0.5667623041271243,0.5621101017839554,0.5139518244693537,0.5233122875182127,0.6896833793440057,0.2482554010683434,2155,2038,1963,2568,0.5067290201516722,0.5279688216414489
fold_2020,xgboost_fixed_v1,OFFSET_40,8723,4525,4198,0.5187435515304368,0.538232259543735,0.5371520771532879,0.556547316664868,,0.572887025156278,1.1043742586603784,0.07438780756911732,0.5537297297297298,0.5659668508287293,0.5597814207650273,0.5083373034778466,0.5207418252806247,0.6887246294090735,0.24779537774172877,2134,2064,1964,2561,0.5073754068267163,0.5302074974206121
fold_2020,xgboost_fixed_v1,OFFSET_45,8723,4469,4254,0.5123237418319385,0.538232259543735,0.5375105083202332,0.5547321342249796,,0.5703951818987905,1.113349109801555,0.07513547212358765,0.5476756756756757,0.5667934660997986,0.557070595997361,0.5082275505406676,0.5275744265495363,0.6893879934052219,0.24813067445550036,2162,2092,1936,2533,0.5077124506587024,0.5302074974206121
fold_2020,xgboost_fixed_v1,OFFSET_50,8722,4508,4214,0.5168539325842697,0.547810135290071,0.5467231381935991,0.5636639909053736,,0.5774689466076558,1.1172768749582904,0.09360758626378217,0.5605670103092784,0.5789707187222716,0.569620253164557,0.5144755576649265,0.5332021642892277,0.6872427596098429,0.24705717268824387,2168,2046,1898,2610,0.5070215072948379,0.5338225177711534
fold_2020,xgboost_fixed_v1,OFFSET_55,8722,4509,4213,0.5169685851868837,0.5527401972024765,0.5517531279714485,0.5670779916023111,,0.5798525304646491,1.1216397805971767,0.10364399355432732,0.565658747300216,0.5808383233532934,0.5731480468322574,0.5226679325896036,0.5381231671554252,0.6864305655955155,0.24665244179504942,2202,2011,1890,2619,0.5074753016335951,0.5308415501031873
fold_2020,xgboost_fixed_v1,ALL_MARGINS,104663,54183,50480,0.5176901101630949,0.546468188376026,0.5454245616772158,0.564555399479249,,0.5766534721055995,1.113897022146953,0.09096843867809003,0.5604008131397629,0.57492202351291,0.5675685524278037,0.5159270998415214,0.5306870975629636,0.6868616047389247,0.24687283523069423,26044,24436,23032,31151,0.5071909424049333,0.5311045928360547
fold_2020,xgboost_fixed_v1,ABS_RETURN_GE_1BPS,102066,52883,49183,0.5181255266200302,0.5480669370799287,0.5469811139063832,0.5665201310830387,,0.5787249614088182,1.1169589832489162,0.09408923108342081,0.5622512162759841,0.5769339863472194,0.5694979794114627,0.517028241465547,0.531965189741015,0.6863504574178441,0.24662109085011116,25429,23754,22373,30510,0.5072968272958052,0.5316559873023338
fold_2020,xgboost_fixed_v1,ABS_RETURN_GE_2_5BPS,98141,50905,47236,0.5186924934532968,0.5495970083858938,0.5484375360384692,0.5683706238532307,,0.5811539071411169,1.1204208938362903,0.09701664598620764,0.5640824600321273,0.579451920243591,0.5716639049584775,0.5174231518333474,0.5330759667604528,0.6858664559165512,0.24638275369008783,24441,22795,21408,29497,0.507492367890418,0.5328252208557076
fold_2020,xgboost_fixed_v1,ABS_RETURN_GE_5BPS,91767,47667,44100,0.5194350910458008,0.5519304325084181,0.5506695514759494,0.5711899814505841,,0.584318906888497,1.1249122690422453,0.10150314143216983,0.5667706612834159,0.583107810434892,0.5748231790544732,0.5182312925170068,0.5348967841595281,0.6851402658052944,0.24602459987704228,22854,21246,19872,27795,0.5077693379223324,0.5344077936513125
fold_2020,xgboost_fixed_v1,ABS_RETURN_GE_10BPS,79634,41515,38119,0.5213225506693121,0.5547881558128438,0.5532227122302715,0.5748910083702868,,0.5896805350020385,1.1311241653463167,0.10667322267508755,0.5706064630367419,0.5899313501144164,0.5801080108010801,0.5165140743461266,0.5362950453517827,0.6841284107540482,0.2455262287552777,19689,18430,17024,24491,0.5085058259913692,0.5389783258407213
fold_2021,xgboost_fixed_v1,DENSE,104549,52981,51568,0.5067575969162785,0.5230083501516035,0.5215689103106838,0.5307575372136961,,0.5309131773122656,1.0476669329537014,0.04415281285538191,0.5245271122320303,0.6280742152847247,0.5716494446878141,0.4150636053366429,0.5206645746673478,0.6924006837716619,0.24962310641102045,21404,30164,19705,33276,0.5157671857324762,0.6067968129776469
fold_2021,xgboost_fixed_v1,NONOVERLAP_OFFSET_00,8712,4390,4322,0.5039026629935721,0.5308769513314968,0.5300948476776655,0.5474937518380822,,0.542531663975807,1.0766596484185034,0.06144017088337208,0.5289619575606959,0.6302961275626424,0.5752000831514397,0.42989356779268856,0.5337546681987935,0.6900809846007347,0.24846995176068803,1858,2464,1623,2767,0.5156443266384475,0.6004361799816346
