sample_count,agreement_count,flip_count,agreement_rate,agreement_rate_ci95_low,agreement_rate_ci95_high,flip_rate,flip_rate_ci95_low,flip_rate_ci95_high,cohen_kappa,mcc,kline_up_rate,reference_up_rate,up_to_down_count,down_to_up_count,bucket_source,bucket,return_kline_open_mean,return_kline_open_median,return_vwap_5s_mean,return_vwap_5s_median,entry_price_difference_bps_mean,settlement_price_difference_bps_mean
25,18,7,0.72,0.5242339480963842,0.8571614614904344,0.28,0.14283853850956563,0.47576605190361576,0.43729903536977494,0.4387188079786328,0.56,0.52,4,3,kline_open_abs_return,"[0, 1)",5.379075865450389e-06,8.081150917549351e-06,3.1067917310192424e-05,5.817127102458741e-06,0.3585362952256421,0.10171912500895886
40,35,5,0.875,0.738878801611489,0.945404997490546,0.125,0.054595002509454024,0.26112119838851094,0.7487437185929648,0.7496908723878578,0.525,0.55,2,3,kline_open_abs_return,"[1, 2.5)",1.4780765609262447e-05,0.00010976436995113747,-9.693531627363861e-06,2.004556519497047e-05,-0.14408237564950133,0.10064502683293508
274,274,0,1.0,0.9861739178990808,1.0,0.0,8.673617379884035e-19,0.01382608210091937,1.0,1.0,0.44525547445255476,0.44525547445255476,0,0,kline_open_abs_return,"[10, 25)",-0.00017778614995977304,-0.0011337057900254188,-0.00017728350193255604,-0.0011407366988078205,-0.009059784919301725,-0.013968035729938523
53,51,2,0.9622641509433962,0.8724571280258164,0.9895897127241731,0.03773584905660377,0.010410287275826845,0.12754287197418354,0.9245014245014245,0.9245014245014245,0.5094339622641509,0.5094339622641509,1,1,kline_open_abs_return,"[2.5, 5)",-5.431938800568916e-06,0.0002546194165062854,3.4531004261141873e-06,0.00014843836038380687,0.05692388820807326,-0.031866713620643604
180,180,0,1.0,0.9791045020783868,1.0,0.0,0.0,0.02089549792161305,1.0,1.0,0.37777777777777777,0.37777777777777777,0,0,kline_open_abs_return,"[25, 50)",-0.0008660112396811384,-0.00282018897027414,-0.0008483118535876836,-0.002871812725347145,-0.07715633951858407,-0.2522768426759062
110,110,0,1.0,0.9662560647018358,0.9999999999999999,0.0,0.0,0.033743935298164184,1.0,1.0,0.43636363636363634,0.43636363636363634,0,0,kline_open_abs_return,"[5, 10)",-0.00011819580177417304,-0.0005660281498744979,-0.00013383954399367863,-0.0005593808273674505,-0.15067574118410312,0.005716367637454877
108,108,0,1.0,0.9656526402534428,0.9999999999999999,0.0,0.0,0.034347359746557025,1.0,1.0,0.5833333333333334,0.5833333333333334,0,0,kline_open_abs_return,"[50, +inf)",0.0006749419628705404,0.005420563178002991,0.0006657590838349198,0.005395741418609767,0.05030860079537943,0.14276910052367106
27,20,7,0.7407407407407407,0.5532142868544692,0.8682962543809281,0.25925925925925924,0.1317037456190719,0.44678571314553067,0.4324324324324324,0.4338609156373124,0.6666666666666666,0.6296296296296297,4,3,vwap_5s_abs_return,"[0, 1)",5.698441042428576e-05,3.4794412924865625e-05,1.0410207419188613e-05,2.330918137216642e-05,-0.37227518137448345,0.09322120879315696
39,36,3,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.07692307692307693,0.02650739530377974,0.20321071167954996,0.8454425363276091,0.8557250996811163,0.41025641025641024,0.48717948717948717,0,3,vwap_5s_abs_return,"[1, 2.5)",-7.185093846781494e-06,-4.2928208883519225e-05,-7.845184236801654e-06,-0.0001082309871075493,-0.024664718609051634,-0.018251160691167393
281,281,0,1.0,0.9865136948932973,0.9999999999999998,0.0,0.0,0.01348630510670253,1.0,1.0,0.4483985765124555,0.4483985765124555,0,0,vwap_5s_abs_return,"[10, 25)",-0.00016088417959894121,-0.0010658704929410456,-0.00016416673826518465,-0.001150717707933735,-0.04023740823455066,-0.0076441720590414
55,51,4,0.9272727272727272,0.8274005992784393,0.9713559397669594,0.07272727272727272,0.02864406023304053,0.17259940072156052,0.8523489932885906,0.8546812695173377,0.5818181818181818,0.5454545454545454,3,1,vwap_5s_abs_return,"[2.5, 5)",5.5875165958184745e-05,0.0002252741505957001,3.120538546651003e-05,0.0002733355871391563,-0.19300545812380013,0.05361003282005667
173,173,0,1.0,0.9782773855954833,0.9999999999999999,0.0,0.0,0.02172261440451652,1.0,1.0,0.35260115606936415,0.35260115606936415,0,0,vwap_5s_abs_return,"[25, 50)",-0.0010906037421548095,-0.0028888097189428974,-0.0010923446310916066,-0.0029267597432590664,-0.02161865325088601,-0.003457703685363253
107,107,0,1.0,0.9653427619812514,1.0,0.0,0.0,0.03465723801874867,1.0,1.0,0.411214953271028,0.411214953271028,0,0,vwap_5s_abs_return,"[5, 10)",-0.00016254616349018624,-0.0005590363585541436,-0.00014597564703257564,-0.000583899624817863,0.12207109796655992,-0.04381768004682518
108,108,0,1.0,0.9656526402534428,0.9999999999999999,0.0,0.0,0.034347359746557025,1.0,1.0,0.6111111111111112,0.6111111111111112,0,0,vwap_5s_abs_return,"[50, +inf)",0.0009507261771505211,0.005420563178002991,0.0009769837803510844,0.0055038096252372215,0.02147536081173976,-0.23730008446978298
