model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,54,buy_pressure_change_5_60,12.872846603393555,102.98277282714844,8.0,3148.341796875,25186.734375,0.0010348243703955907,50
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,55,buy_pressure_persistence_15m,9.49484634399414,37.97938537597656,4.0,1659.91748046875,6639.669921875,0.00038163658329216796,56
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,56,buy_pressure_std_15m,27.72772979736328,1996.3966064453125,72.0,12606.3154296875,907654.6875,0.020060829637906622,11
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,57,log_trade_count_zscore_60m,11.55537223815918,150.21983337402344,13.0,2076.18115234375,26990.353515625,0.0015094868804234034,46
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,58,log_avg_trade_quote_size_zscore_60m,10.306178092956543,61.837066650390625,6.0,861.0281372070312,5166.1689453125,0.0006213709517319522,52
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,59,time_sin,33.24707794189453,4089.390625,123.0,15733.455078125,1935215.0,0.04109232022641425,5
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,60,time_cos,24.685344696044922,2271.0517578125,92.0,9556.1279296875,879163.75,0.02282070720079284,10
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,61,weekday_sin,22.362783432006836,983.9624633789062,44.0,9528.11328125,419236.96875,0.009887365708903738,19
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,62,weekday_cos,18.296463012695312,256.1504821777344,14.0,8332.3544921875,116652.96875,0.002573933039179371,40
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,63,is_weekend,37.90822219848633,37.90822219848633,1.0,1995.226318359375,1995.226318359375,0.0003809214987365668,57
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,1,log_return_1m,0.0,0.0,0.0,0.0,0.0,0.0,46
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,2,log_return_3m,0.0,0.0,0.0,0.0,0.0,0.0,47
