fold_name,feature_index,feature_name,coefficient,absolute_coefficient,coefficient_rank,coefficient_sign
fold_2020,1,log_return_1m,0.003993495155291193,0.003993495155291193,48,positive
fold_2020,2,log_return_3m,0.0013587070141321633,0.0013587070141321633,56,positive
fold_2020,3,log_return_5m,0.0019524664641589994,0.0019524664641589994,54,positive
fold_2020,4,log_return_10m,-0.008915594645627481,0.008915594645627481,32,negative
fold_2020,5,log_return_15m,0.019747174955038055,0.019747174955038055,15,positive
fold_2020,6,log_return_30m,0.019116448874901937,0.019116448874901937,16,positive
fold_2020,7,log_return_60m,0.03063784777008913,0.03063784777008913,8,positive
fold_2020,8,log_return_120m,-0.034476263850926586,0.034476263850926586,7,negative
fold_2020,9,momentum_acceleration_5_30,-0.005940702821383168,0.005940702821383168,39,negative
fold_2020,10,momentum_acceleration_15_60,0.005508088158228425,0.005508088158228425,41,positive
fold_2020,11,efficiency_ratio_15m,-0.0004047013687653143,0.0004047013687653143,61,negative
fold_2020,12,efficiency_ratio_60m,-0.011596166187954693,0.011596166187954693,25,negative
fold_2020,13,up_candle_ratio_15m,-0.026684148503527776,0.026684148503527776,9,negative
fold_2020,14,realized_volatility_5m,0.00508053495240484,0.00508053495240484,45,positive
fold_2020,15,realized_volatility_15m,0.0208274533102191,0.0208274533102191,14,positive
fold_2020,16,realized_volatility_30m,-0.005942929287220793,0.005942929287220793,38,negative
fold_2020,17,realized_volatility_60m,-0.03869375249017385,0.03869375249017385,6,negative
fold_2020,18,realized_volatility_120m,0.002324414741886294,0.002324414741886294,53,positive
fold_2020,19,volatility_ratio_5_60,-0.006011799303604018,0.006011799303604018,37,negative
fold_2020,20,volatility_ratio_15_120,-0.011814968763373535,0.011814968763373535,24,negative
fold_2020,21,normalized_atr_14,0.009571257487272293,0.009571257487272293,29,positive
fold_2020,22,normalized_atr_60,0.04037145395892663,0.04037145395892663,5,positive
fold_2020,23,semivariance_imbalance_60m,-0.060551177897812405,0.060551177897812405,2,negative
fold_2020,24,ema_distance_5,0.0008735356853796168,0.0008735356853796168,59,positive
fold_2020,25,ema_distance_20,-0.0096816797934905,0.0096816797934905,28,negative
fold_2020,26,ema_distance_60,0.017567098219009595,0.017567098219009595,18,positive
fold_2020,27,ema_distance_120,-0.016101152570156624,0.016101152570156624,20,negative
fold_2020,28,ema_spread_5_20,-0.00981410504057018,0.00981410504057018,26,negative
fold_2020,29,ema_spread_20_60,0.024759441201685627,0.024759441201685627,11,positive
fold_2020,30,normalized_slope_15m,0.009797606030506636,0.009797606030506636,27,positive
fold_2020,31,normalized_slope_60m,-0.009043294894000638,0.009043294894000638,31,negative
fold_2020,32,range_position_30m,-0.00929767151201389,0.00929767151201389,30,negative
fold_2020,33,range_position_60m,0.026531357982304174,0.026531357982304174,10,positive
fold_2020,34,range_position_120m,-0.2154859027825125,0.2154859027825125,1,negative
fold_2020,35,support_distance_60m,0.005497893924839575,0.005497893924839575,42,positive
fold_2020,36,resistance_distance_60m,0.008820589738393347,0.008820589738393347,33,positive
fold_2020,37,vwap_distance_60m,-0.004653941096991519,0.004653941096991519,47,negative
fold_2020,38,signed_body_ratio,-0.0009400919685568117,0.0009400919685568117,58,negative
fold_2020,39,absolute_body_ratio,0.016072896690430195,0.016072896690430195,21,positive
fold_2020,40,upper_wick_ratio,0.006265076769632993,0.006265076769632993,36,positive
fold_2020,41,lower_wick_ratio,0.021582418924207265,0.021582418924207265,13,positive
fold_2020,42,close_location,0.005191516535562147,0.005191516535562147,43,positive
fold_2020,43,signed_body_mean_5m,3.171791274304144e-05,3.171791274304144e-05,63,positive
fold_2020,44,upper_wick_mean_15m,-0.045185163982107965,0.045185163982107965,3,negative
fold_2020,45,lower_wick_mean_15m,-0.0025697897163929396,0.0025697897163929396,51,negative
fold_2020,46,is_zero_volume_1m,-0.00020435749156437399,0.00020435749156437399,62,negative
fold_2020,47,log_quote_volume_zscore_60m,-0.022908418787627477,0.022908418787627477,12,negative
fold_2020,48,volume_ratio_5_60,-0.004993532932928279,0.004993532932928279,46,negative
fold_2020,49,volume_ratio_15_60,0.0031347670640632756,0.0031347670640632756,49,positive
fold_2020,50,taker_buy_quote_ratio_1m,0.006647879489406703,0.006647879489406703,35,positive
fold_2020,51,taker_buy_quote_ratio_5m,0.0018098932532983891,0.0018098932532983891,55,positive
fold_2020,52,taker_buy_quote_ratio_15m,-0.01645507119099505,0.01645507119099505,19,negative
fold_2020,53,taker_buy_quote_ratio_60m,0.007960577637014429,0.007960577637014429,34,positive
fold_2020,54,buy_pressure_change_5_60,-0.002392114464003732,0.002392114464003732,52,negative
fold_2020,55,buy_pressure_persistence_15m,0.0029750591718576396,0.0029750591718576396,50,positive
fold_2020,56,buy_pressure_std_15m,0.017739783596639178,0.017739783596639178,17,positive
fold_2020,57,log_trade_count_zscore_60m,0.005844822940815748,0.005844822940815748,40,positive
fold_2020,58,log_avg_trade_quote_size_zscore_60m,0.015783274929893117,0.015783274929893117,22,positive
fold_2020,59,time_sin,-0.043229911311835456,0.043229911311835456,4,negative
fold_2020,60,time_cos,-0.0011350694482800765,0.0011350694482800765,57,negative
fold_2020,61,weekday_sin,-0.0051295546890669855,0.0051295546890669855,44,negative
fold_2020,62,weekday_cos,-0.013461696006927563,0.013461696006927563,23,negative
fold_2020,63,is_weekend,0.0007876958056546841,0.0007876958056546841,60,positive
fold_2021,1,log_return_1m,0.0015676128221224477,0.0015676128221224477,57,positive
fold_2021,2,log_return_3m,-0.0005065052510530068,0.0005065052510530068,63,negative
fold_2021,3,log_return_5m,0.004998587009010015,0.004998587009010015,43,positive
fold_2021,4,log_return_10m,-0.008604159000326938,0.008604159000326938,33,negative
fold_2021,5,log_return_15m,0.014520598968717914,0.014520598968717914,19,positive
fold_2021,6,log_return_30m,0.02004663750694652,0.02004663750694652,14,positive
fold_2021,7,log_return_60m,0.02262005726279587,0.02262005726279587,12,positive
