proxy_margin_bucket,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
"[0, 1)",23203,11546,11657,0.49760806792225143,3.853455067341675e-07,0.0,5.6909425477908284e-05,1.0,1.0
"[1, 2.5)",34385,17241,17144,0.5014104987639959,4.4518349885254766e-07,0.00010045618928322675,0.000180061322376225,1.0,1.0
"[10, 25)",245394,124670,120724,0.5080401313805554,2.9962847023031855e-05,0.001019393651859768,0.0017461519769986136,0.0,0.0
"[2.5, 5)",56029,27852,28177,0.4970997162183869,-2.490869390569184e-06,-0.00025139466906187735,0.0003817629753271599,1.0,1.0
"[25, 50)",215958,110898,105060,0.5135165171005474,9.820125366599022e-05,0.0025455654703101516,0.003647592266774259,0.0,0.0
"[5, 10)",105631,53047,52584,0.5021915914835607,3.4741055208636352e-06,0.0005022124931983729,0.0007597254922423868,0.0,1.0
"[50, +inf)",239778,122603,117175,0.5113188032263177,0.00011938894979320627,0.0050935350796689205,0.014278949284542479,0.0,0.0
