fold_name,boosting_round,inner_early_stop_logloss
fold_2020,0,0.6928842981242359
fold_2020,1,0.6924018863964997
fold_2020,2,0.6919277341423934
fold_2020,3,0.6914693379373426
fold_2020,4,0.6910385322475325
fold_2020,5,0.6906016221508435
fold_2020,6,0.6902416449262206
fold_2020,7,0.6898963924542699
fold_2020,8,0.6895565381711389
fold_2020,9,0.6892235150979961
fold_2020,10,0.6889484837639087
fold_2020,11,0.6886573977272218
fold_2020,12,0.6883532239208835
fold_2020,13,0.6880818968807147
fold_2020,14,0.6878310503913679
fold_2020,15,0.6876351905575409
fold_2020,16,0.6874157502539889
fold_2020,17,0.6872192450349445
fold_2020,18,0.6870393871769769
fold_2020,19,0.6868360805050785
fold_2020,20,0.6866710241412557
fold_2020,21,0.6864971115598318
fold_2020,22,0.6863377726280571
fold_2020,23,0.6861827631310196
fold_2020,24,0.6860614790269809
fold_2020,25,0.6859280185660346
fold_2020,26,0.6857967491765576
fold_2020,27,0.6856579295440696
fold_2020,28,0.6855430428600159
fold_2020,29,0.6854564727550764
fold_2020,30,0.6853447416666567
fold_2020,31,0.6852506614946604
fold_2020,32,0.6851570958863344
fold_2020,33,0.6850716992219135
fold_2020,34,0.6849840008810665
fold_2020,35,0.6848907468988283
fold_2020,36,0.6848056684162878
fold_2020,37,0.6847307424162276
fold_2020,38,0.6846918891281831
fold_2020,39,0.684611478854262
fold_2020,40,0.6845677542624358
fold_2020,41,0.6845025102224854
fold_2020,42,0.6844447685837871
fold_2020,43,0.684385548501478
fold_2020,44,0.6843331765829138
fold_2020,45,0.6842996154149515
fold_2020,46,0.6842387693941275
fold_2020,47,0.6842006677998841
fold_2020,48,0.6841606297244005
fold_2020,49,0.684109668969728
fold_2020,50,0.6840550976603961
fold_2020,51,0.6840125538771132
fold_2020,52,0.6839677547158064
fold_2020,53,0.683932014082839
fold_2020,54,0.6838966754643256
fold_2020,55,0.6838760443075528
fold_2020,56,0.6838417319671941
fold_2020,57,0.6838277546837876
fold_2020,58,0.6837860442983905
fold_2020,59,0.6837725800480425
fold_2020,60,0.6837489635585362
fold_2020,61,0.683734606537393
fold_2020,62,0.6837024751428284
fold_2020,63,0.6836788577124767
fold_2020,64,0.6836475090966904
fold_2020,65,0.6836278102934247
fold_2020,66,0.6835863693409049
fold_2020,67,0.6835732263881188
fold_2020,68,0.6835613879326097
fold_2020,69,0.6835368608228943
fold_2020,70,0.6835134648214458
fold_2020,71,0.683509067890317
fold_2020,72,0.6834890574690742
fold_2020,73,0.6834824215725761
fold_2020,74,0.6834664601886362
fold_2020,75,0.683453500519959
fold_2020,76,0.683449740070776
fold_2020,77,0.6834402846759828
fold_2020,78,0.6834432452698109
fold_2020,79,0.6834361579042215
fold_2020,80,0.6834244348204649
fold_2020,81,0.6834190056857089
fold_2020,82,0.6834416095010832
fold_2020,83,0.6834444191795935
fold_2020,84,0.6834388919628582
fold_2020,85,0.6834246247658059
fold_2020,86,0.6834031318942485
fold_2020,87,0.6833899514652245
fold_2020,88,0.6833810927460406
fold_2020,89,0.6833718926772364
fold_2020,90,0.6833528132028673
fold_2020,91,0.6833356179557383
fold_2020,92,0.6833359704599388
fold_2020,93,0.6833254408954086
fold_2020,94,0.6833096174704639
fold_2020,95,0.6832968970754693
fold_2020,96,0.6832845158656867
fold_2020,97,0.6832800170706579
fold_2020,98,0.6832609434244324
fold_2020,99,0.6832538926521693
fold_2020,100,0.6832624452918505
fold_2020,101,0.6832645155342003
fold_2020,102,0.6832587781439469
fold_2020,103,0.6832577007415019
fold_2020,104,0.683261415125177
fold_2020,105,0.6832860287416918
fold_2020,106,0.6832867714233056
fold_2020,107,0.683291069542489
fold_2020,108,0.6832672929041707
fold_2020,109,0.6832509076832604
fold_2020,110,0.6832321566601229
