fold_name,inner_fit_count,inner_purged_count,inner_early_stop_count,inner_early_stop_start,inner_fit_min_decision_time,inner_fit_max_decision_time,inner_fit_max_settlement_minute_open_time,inner_early_stop_min_decision_time,inner_early_stop_max_decision_time,inner_early_stop_max_settlement_minute_open_time,inner_fit_label_distribution,inner_early_stop_label_distribution,outer_validation_used_for_early_stopping,final_test_used_for_early_stopping
fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",False,False
fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",False,False
fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",False,False
fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",False,False
fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",False,False
