fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
fold_2020,59,time_sin,33.24707794189453,4089.390625,123.0,15733.455078125,1935215.0,0.04109232022641425,5
fold_2020,60,time_cos,24.685344696044922,2271.0517578125,92.0,9556.1279296875,879163.75,0.02282070720079284,10
fold_2020,61,weekday_sin,22.362783432006836,983.9624633789062,44.0,9528.11328125,419236.96875,0.009887365708903738,19
fold_2020,62,weekday_cos,18.296463012695312,256.1504821777344,14.0,8332.3544921875,116652.96875,0.002573933039179371,40
fold_2020,63,is_weekend,37.90822219848633,37.90822219848633,1.0,1995.226318359375,1995.226318359375,0.0003809214987365668,57
fold_2021,1,log_return_1m,0.0,0.0,0.0,0.0,0.0,0.0,46
fold_2021,2,log_return_3m,0.0,0.0,0.0,0.0,0.0,0.0,47
fold_2021,3,log_return_5m,22.553482055664062,90.21392822265625,4.0,5329.1083984375,21316.43359375,0.0011551786633052325,32
fold_2021,4,log_return_10m,64.45028686523438,64.45028686523438,1.0,20488.935546875,20488.935546875,0.0008252782879254173,35
fold_2021,5,log_return_15m,18.884044647216797,37.768089294433594,2.0,3564.75439453125,7129.5087890625,0.00048361590905404716,42
fold_2021,6,log_return_30m,22.441089630126953,112.20545196533203,5.0,4630.05859375,23150.29296875,0.0014367775195085646,29
fold_2021,7,log_return_60m,711.5333862304688,1423.0667724609375,2.0,34787.1875,69574.375,0.018222201431559774,9
fold_2021,8,log_return_120m,80.16386413574219,5290.81494140625,66.0,15522.318359375,1024473.0,0.06774825852527395,3
fold_2021,9,momentum_acceleration_5_30,65.13372802734375,260.534912109375,4.0,17192.54296875,68770.171875,0.003336118684157577,21
fold_2021,10,momentum_acceleration_15_60,56.723262786865234,907.5722045898438,16.0,13675.6982421875,218811.171875,0.011621354560279335,13
fold_2021,11,efficiency_ratio_15m,0.0,0.0,0.0,0.0,0.0,0.0,48
fold_2021,12,efficiency_ratio_60m,52.120357513427734,364.8424987792969,7.0,10879.3505859375,76155.453125,0.004671764974213421,18
fold_2021,13,up_candle_ratio_15m,0.0,0.0,0.0,0.0,0.0,0.0,49
fold_2021,14,realized_volatility_5m,28.090274810791016,56.18054962158203,2.0,10827.263671875,21654.52734375,0.0007193852822308856,38
fold_2021,15,realized_volatility_15m,27.8153076171875,55.630615234375,2.0,3865.990234375,7731.98046875,0.0007123434375530716,39
fold_2021,16,realized_volatility_30m,47.48833084106445,237.441650390625,5.0,12964.2373046875,64821.1875,0.003040412203692802,22
fold_2021,17,realized_volatility_60m,49.22104263305664,1279.7470703125,26.0,10032.42578125,260843.078125,0.01638700962454169,12
fold_2021,18,realized_volatility_120m,49.116268157958984,736.7440185546875,15.0,14079.3642578125,211190.46875,0.009433919876004159,15
fold_2021,19,volatility_ratio_5_60,10.097549438476562,10.097549438476562,1.0,722.3800659179688,722.3800659179688,0.00012929792430952422,45
fold_2021,20,volatility_ratio_15_120,29.4008846282959,88.20265197753906,3.0,7803.53369140625,23410.6015625,0.0011294245092611063,34
fold_2021,21,normalized_atr_14,0.0,0.0,0.0,0.0,0.0,0.0,50
fold_2021,22,normalized_atr_60,31.52556610107422,283.7301025390625,9.0,8587.791015625,77290.1171875,0.003633130349690478,19
fold_2021,23,semivariance_imbalance_60m,22.778499603271484,91.11399841308594,4.0,2458.1923828125,9832.76953125,0.00116670395546295,31
fold_2021,24,ema_distance_5,45.777801513671875,137.33340454101562,3.0,7645.615234375,22936.845703125,0.0017585379753478612,26
fold_2021,25,ema_distance_20,77.47415161132812,1317.060546875,17.0,15500.7109375,263512.09375,0.016864804271421004,11
fold_2021,26,ema_distance_60,181.68946838378906,1635.2052001953125,9.0,14393.07421875,129537.6640625,0.02093860886679576,8
fold_2021,27,ema_distance_120,504.4169006347656,38335.68359375,76.0,41172.13671875,3129082.5,0.49088388681426326,1
fold_2021,28,ema_spread_5_20,64.28675842285156,1350.02197265625,21.0,16384.84375,344081.71875,0.017286871423631063,10
fold_2021,29,ema_spread_20_60,498.8597717285156,9478.3359375,19.0,39241.5625,745589.6875,0.12136896878734334,2
fold_2021,30,normalized_slope_15m,32.99442672729492,131.9777069091797,4.0,5346.92626953125,21387.705078125,0.0016899589016582455,28
fold_2021,31,normalized_slope_60m,85.60771179199219,2225.800537109375,26.0,22383.6484375,581974.875,0.02850111218853175,5
fold_2021,32,range_position_30m,54.52342987060547,109.04685974121094,2.0,14274.326171875,28548.65234375,0.0013963321202750774,30
