fold_name,model_name,subset_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio
fold_2020,xgb_depth3_regularized_v1,DENSE,104663,54183,50480,0.5176901101630949,0.5449394724018994,0.5438275909517529,0.5640404886103392,,0.5758301714387677,1.1123066872136231,0.08779145768523612,0.5587544592438557,0.5752542310318735,0.5668843096957241,0.5124009508716323,0.5291734860883797,0.6871696867848335,0.2470241321236768,25866,24614,23014,31169,0.5070669407656634,0.5329772699043597
fold_2020,xgb_depth3_regularized_v1,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.5610595115239078,0.5600850408562648,0.5843761388459975,,0.5924715904603787,1.1431293673462306,0.12028990854993445,0.575021682567216,0.5867256637168141,0.580814717477004,0.5334444179957153,0.545388172304697,0.6818389794293546,0.24440081781747858,2241,1960,1868,2652,0.5068536028616227,0.528838435959179
fold_2020,xgb_depth3_v1,DENSE,104663,54183,50480,0.5176901101630949,0.5452738790212396,0.5442148784729732,0.5640477496172579,,0.5757604285413412,1.1121719678205784,0.08855025482499797,0.5592327604803337,0.5741468726353284,0.5665916893571682,0.5142828843106181,0.5294381564188845,0.6871969642169021,0.2470348398507476,25961,24519,23074,31109,0.5071042731878264,0.5314963263044247
fold_2020,xgb_depth3_v1,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.5625501662653365,0.5615818926382888,0.5844619011908248,,0.592522725117506,1.1432280278207456,0.12328496438186952,0.5764476252439817,0.5880530973451328,0.5821925309385609,0.5351106879314449,0.5469586374695864,0.6818560300704469,0.2444067878938213,2248,1953,1862,2658,0.506842587628013,0.5287237702098383
fold_2020,xgb_depth4_regularized_v1,DENSE,104663,54183,50480,0.5176901101630949,0.5464586339011877,0.5452359482478715,0.5642500629872242,,0.5764018612526155,1.1134109961479155,0.09065261552887698,0.5598225105139354,0.5797944004577081,0.5696334508925738,0.5106774960380349,0.5310111850371805,0.6867955865963051,0.24684352958887792,25779,24701,22768,31415,0.5073834406705738,0.5361589100255104
fold_2020,xgb_depth4_regularized_v1,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.5608301800252264,0.5596538066157868,0.5837843602344996,,0.5905128689848159,1.1393501615965884,0.11951000449828178,0.5740343347639485,0.5918141592920354,0.5827886710239651,0.5274934539395382,0.5456784043339079,0.6820439050172203,0.24449769172198677,2216,1985,1845,2675,0.5070769733866479,0.5343423919275313
fold_2020,xgb_depth5_regularized_v1,DENSE,104663,54183,50480,0.5176901101630949,0.5451496708483419,0.5436454356506168,0.5644912507133409,,0.577012866520642,1.114591249075355,0.08757691363136415,0.5577507331893297,0.5861617112378421,0.5716034051437107,0.5011291600633915,0.5301131601005867,0.6866854942994719,0.24678982943988786,25297,25183,22423,31760,0.507425240533843,0.5440604607167767
fold_2020,xgb_depth5_regularized_v1,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.5606008485265451,0.5591553738785329,0.5849757379722065,,0.5930096244726035,1.1441674635012336,0.11864453506739903,0.5728196443691786,0.5986725663716814,0.5854608394634357,0.5196381813853844,0.5461596197147861,0.6817089191547987,0.24433451797954894,2183,2018,1814,2706,0.5071226184507013,0.5416809998853342
fold_2020,xgb_fixed_v1_reference,DENSE,104663,54183,50480,0.5176901101630949,0.546468188376026,0.5454245616772158,0.564555399479249,,0.5766534721055995,1.113897022146953,0.09096843867809003,0.5604008131397629,0.57492202351291,0.5675685524278037,0.5159270998415214,0.5306870975629636,0.6868616047389247,0.24687283523069423,26044,24436,23032,31151,0.5071909424049333,0.5311045928360547
fold_2020,xgb_fixed_v1_reference,NONOVERLAP_OFFSET_00,8721,4520,4201,0.5182891870198372,0.559568856782479,0.5585797892621437,0.5845442404147347,,0.5918006808747902,1.141834897767488,0.11728110080904854,0.5735644637053088,0.5856194690265487,0.5795292829775588,0.5315401094977387,0.5438382854359474,0.6818370540721608,0.2443963182822179,2233,1968,1873,2647,0.5068674870805038,0.529182433207201
