sample_count,agreement_count,flip_count,agreement_rate,agreement_rate_ci95_low,agreement_rate_ci95_high,flip_rate,flip_rate_ci95_low,flip_rate_ci95_high,cohen_kappa,mcc,kline_up_rate,reference_up_rate,up_to_down_count,down_to_up_count,decision_date_utc,primary_reliable_count,entry_id_gap_count,settlement_id_gap_count
288,282,6,0.9791666666666666,0.9553011992768816,0.9904177575680155,0.020833333333333332,0.009582242431984241,0.044698800723118104,0.9583172520262446,0.9584097670729685,0.4930555555555556,0.4861111111111111,4,2,2022-09-02,239,235,237
288,281,7,0.9756944444444444,0.9506883626367332,0.9881775582889983,0.024305555555555556,0.01182244171100157,0.0493116373632667,0.9511769834350479,0.951200120076735,0.4652777777777778,0.46875,3,4,2022-09-03,208,200,199
214,213,1,0.9953271028037384,0.9740101738146195,0.9991746420954585,0.004672897196261682,0.0008253579045416418,0.025989826185380586,0.990333363447466,0.9903796369776665,0.40654205607476634,0.411214953271028,0,1,2022-09-04,148,157,158
