hour,matched_minutes,reliable_minutes,base_volume_relative_error_mean,base_volume_relative_error_median,quote_volume_relative_error_mean,active_buy_base_relative_error_mean,max_abs_price_error_bps_mean,id_gap_minutes,hour_utc
1662076800000,60,54,0.0030341126215088724,0.0004784021146159739,0.0030340401881298073,0.0023136367106706196,0.0082497658755384,42,2022-09-02T00:00:00+00:00
1662080400000,60,56,0.004349716440420629,0.00060948445077089,0.004349274913391917,0.0023553580555274413,0.006969374613826661,45,2022-09-02T01:00:00+00:00
1662084000000,60,55,0.002879285263498704,0.0004550820348866602,0.0028791881578469607,0.0021177966415916673,0.0073979973539253195,44,2022-09-02T02:00:00+00:00
1662087600000,60,54,0.004781623696528876,0.0011598387575316612,0.004781724036691091,0.0046587354845521066,0.018469543659067725,53,2022-09-02T03:00:00+00:00
1662091200000,60,57,0.0024438243810931113,0.00041603006394299355,0.0024438919221462197,0.002955897844935966,0.005969918364913649,42,2022-09-02T04:00:00+00:00
1662094800000,60,50,0.004711289665991206,0.0008025475049609076,0.0047111755913312155,0.004791995183719236,0.00877166116137576,48,2022-09-02T05:00:00+00:00
1662098400000,60,55,0.003090926199748572,0.0002538677013970305,0.003091206946430911,0.002723239922920205,0.005633167865706602,42,2022-09-02T06:00:00+00:00
1662102000000,60,55,0.0028315672791707634,0.0009055438354634947,0.0028314530004703987,0.0027159392960797685,0.0031993757947519825,49,2022-09-02T07:00:00+00:00
1662105600000,60,55,0.0023808381700287707,0.0004006129703315089,0.002381018512792473,0.0022699732144562767,0.0038620619668824022,44,2022-09-02T08:00:00+00:00
1662109200000,60,55,0.0026406843519511127,0.0005732809027432539,0.0026405310864881814,0.0026095676780338024,0.003365541351736535,45,2022-09-02T09:00:00+00:00
1662112800000,60,52,0.0054646664149207895,0.00046885728685796136,0.005465112595339546,0.004986790041102139,0.009915896659515573,50,2022-09-02T10:00:00+00:00
1662116400000,60,47,0.007327518015027523,0.0007369510183947538,0.007327028438202287,0.005520305386876261,0.020619595595473824,44,2022-09-02T11:00:00+00:00
1662120000000,60,51,0.004685767099752331,0.0026769022213934497,0.0046853279457209985,0.004828272711078405,0.011748645676638993,55,2022-09-02T12:00:00+00:00
1662123600000,60,53,0.00546835820582015,0.0021965010015743015,0.0054689117424060124,0.005593143403041778,0.021896199713706297,60,2022-09-02T13:00:00+00:00
1662127200000,60,52,0.006068789911010461,0.002566067202465598,0.006069293191149243,0.004626328937222696,0.03252318442745575,58,2022-09-02T14:00:00+00:00
1662130800000,60,53,0.0037204388909834363,0.0017224063087997957,0.003720442308837379,0.0036114819984609807,0.01041844528486427,53,2022-09-02T15:00:00+00:00
1662134400000,60,48,0.007061633636789654,0.0019865025184933162,0.007061573022629108,0.007217658365009304,0.011096099868081308,58,2022-09-02T16:00:00+00:00
1662138000000,60,46,0.00734099705610765,0.003414185973143567,0.007340612977727165,0.005217992246244173,0.05629416318212106,58,2022-09-02T17:00:00+00:00
1662141600000,60,50,0.0061477751150256195,0.003418116599832656,0.006148147922097762,0.007464178369466415,0.04039931368909097,58,2022-09-02T18:00:00+00:00
1662145200000,60,50,0.008370375475651982,0.0025711241166371346,0.008370590905984318,0.0033919974310951586,0.025987555218148176,56,2022-09-02T19:00:00+00:00
1662148800000,60,54,0.007084705562714321,0.00021584366413179008,0.007086067765075002,0.010364769514307511,0.02907288711163074,39,2022-09-02T20:00:00+00:00
1662152400000,60,50,0.006577196182131169,7.319949047021284e-05,0.006578280086268954,0.010795383704458254,0.015616258808981818,32,2022-09-02T21:00:00+00:00
1662156000000,60,56,0.0029961516560374334,0.00046621449244188594,0.0029957619104155294,0.002131703992905383,0.019245197595712225,41,2022-09-02T22:00:00+00:00
1662159600000,60,55,0.0026174378869363323,0.0005286268825369731,0.0026175951718999057,0.002500589255124861,0.003001170445820435,43,2022-09-02T23:00:00+00:00
1662163200000,60,54,0.003099450878183777,0.0005629536419782162,0.0030995242825175777,0.0026197506034120574,0.004508513770114727,46,2022-09-03T00:00:00+00:00
1662166800000,60,56,0.002513359027426786,0.0009971528061888282,0.0025132585420099603,0.0023178803782970734,0.002772095884315019,42,2022-09-03T01:00:00+00:00
1662170400000,60,55,0.00332804239498435,0.0006806753436814493,0.0033280247622954483,0.0025759872571898853,0.00487087266645776,48,2022-09-03T02:00:00+00:00
1662174000000,60,52,0.003416039519607094,0.0005632981966965126,0.0034160392591063835,0.0034615606758678055,0.005049015131209757,46,2022-09-03T03:00:00+00:00
1662177600000,60,54,0.002002035346431936,2.505222242788523e-05,0.0020021800433436617,0.002275996961031312,0.0019957175266553857,34,2022-09-03T04:00:00+00:00
1662181200000,60,57,0.00319535567163057,0.00044206351680766527,0.003195656956653303,0.004572151731602305,0.0048958524009017545,40,2022-09-03T05:00:00+00:00
1662184800000,60,54,0.004352383350585373,0.0002912690885630486,0.004352923576642421,0.00417008230459665,0.038858285608451504,38,2022-09-03T06:00:00+00:00
1662188400000,60,51,0.004966859716689757,0.0012021862184899044,0.004966925739176745,0.00452211232471803,0.004447270643113341,46,2022-09-03T07:00:00+00:00
1662192000000,60,56,0.004854791170216984,0.0006655509481523448,0.004854637727570279,0.004214264762731868,0.03848708955145126,50,2022-09-03T08:00:00+00:00
1662195600000,60,53,0.004556128860310405,0.0014794579865691664,0.004556371514477068,0.002326150267495803,0.01903231403393191,48,2022-09-03T09:00:00+00:00
1662199200000,60,54,0.004188921684684907,0.0006643191630709938,0.00418939453512143,0.005395893779600108,0.01851289441405555,49,2022-09-03T10:00:00+00:00
1662202800000,60,52,0.004381973084177175,0.00021801999616135868,0.004382069031329875,0.00471612247889548,0.004114853514371351,41,2022-09-03T11:00:00+00:00
1662206400000,60,54,0.00415811054410335,0.0007753509667006596,0.004158216089657643,0.0027494774114350715,0.014731036361083628,51,2022-09-03T12:00:00+00:00
1662210000000,60,48,0.006588862826814069,0.000615812443983984,0.0065886497955647645,0.0044438600652150365,0.007898209594245857,47,2022-09-03T13:00:00+00:00
1662213600000,60,55,0.002714349780708455,0.000492111252538799,0.002714363186327224,0.002981688979516056,0.001974004039236301,47,2022-09-03T14:00:00+00:00
1662217200000,60,52,0.0036834659628700354,0.0005656312358704265,0.0036836468144254035,0.0037847719539872743,0.026618304369393712,50,2022-09-03T15:00:00+00:00
1662220800000,60,53,0.004252608008001118,0.0001552316725475638,0.004253048706449618,0.0034839775815653307,0.0057069103626199566,42,2022-09-03T16:00:00+00:00
