model_name,subset_name,summary_type,fold_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio
logistic_regression_l2,DENSE,pooled,,524748.0,266712.0,258036.0,0.5082668252189623,0.5303822025048214,0.5292319985123991,0.5411849695446905,,0.5417721110411545,1.0659206624547217,0.059038291859722154,0.5338996366164883,0.5987994540928042,0.5644902756055103,0.459664542931994,0.5257185914057133,0.691366731703528,0.24909920975226574,118610.0,139426.0,107005.0,159707.0,0.5116801036421738,0.570050767225411
logistic_regression_l2,DENSE,fold_macro_mean,,104949.6,53342.4,51607.2,0.5082718470159795,0.5303820396222602,0.529380199225572,0.5416664433811167,,0.5425190236438544,1.0672735496880328,0.05936952937007398,0.5342173688177426,0.5988970341896909,0.5643654113171932,0.4598633642614531,0.5257713444005383,0.6913680412053747,0.24909985305435095,23722.0,27885.2,21401.0,31941.4,0.5116791634629437,0.5700284438095241
logistic_regression_l2,DENSE,fold_macro_std,,344.15592396470527,668.4828344841773,763.4298920005687,0.0066492123208257625,0.008309113507176202,0.008451045339439,0.011874454302230822,,0.015105376525151868,0.019755306237316677,0.01685136145786043,0.012341007869149037,0.024502691830747204,0.00947137531219852,0.032283782409423624,0.010162765243191475,0.0026192197407946347,0.001295796663892985,1499.1200752441414,1892.9720547329798,1440.5420854664399,1208.054758692668,0.004389986043837789,0.027056687430683887
logistic_regression_l2,DENSE,best_fold_by_roc_auc,fold_2020,104663.0,54183.0,50480.0,0.5176901101630949,0.5412896630136724,0.540155607070925,0.5574944775399141,,0.568806215678112,1.0987388101714235,0.08044140736564893,0.5552789468971076,0.5722089954413746,0.5636168626951953,0.5081022187004754,0.5252928647497338,0.6881258178431385,0.24749415772779748,25649.0,24831.0,23179.0,31004.0,0.5056303184358092,0.5334741025959508
logistic_regression_l2,DENSE,worst_fold_by_roc_auc,fold_2021,104549.0,52981.0,51568.0,0.5067575969162785,0.5192589120890683,0.5182855421996246,0.5262800002978488,,0.5306266349179691,1.0471014902330789,0.03695579205607909,0.5227310713688785,0.5903059587399256,0.5544672062121602,0.44626512565932364,0.5146134752566024,0.6953242511990091,0.25105552371514944,23013.0,28555.0,21706.0,31275.0,0.5143311524080804,0.5722675491874624
logistic_regression_l2,NONOVERLAP_OFFSET_00,pooled,,43728.0,22256.0,21472.0,0.508964507866813,0.5395627515550677,0.5383237133059984,0.555830805952895,,0.5547846039225032,1.0900261125235091,0.07739283178988224,0.5425830791459303,0.6074317038102085,0.5731790044941916,0.46921572280178836,0.5355624069742717,0.6884088901654564,0.24763681328830545,10075.0,11397.0,8737.0,13519.0,0.5119631183230658,0.5697950969630443
logistic_regression_l2,NONOVERLAP_OFFSET_00,fold_macro_mean,,8745.6,4451.2,4294.4,0.5089663569837134,0.5395605104705655,0.5383951157338821,0.5564710746412957,,0.5559629245253361,1.092186013818565,0.07759912273709972,0.5428424680151909,0.6074328183362027,0.5729738688613922,0.46935741313156143,0.5355790096796407,0.688409096643387,0.24763691231652118,2015.0,2279.4,1747.4,2703.8,0.5119613457483189,0.5697656543309014
logistic_regression_l2,NONOVERLAP_OFFSET_00,fold_macro_std,,29.013789824840188,71.69170105388768,74.00878326252905,0.008169742128438457,0.007390335668327543,0.007343471080091613,0.012800540513429262,,0.017216994601985922,0.020234238423844416,0.014538695539142624,0.013325690345712127,0.02574179632309518,0.011270586888589621,0.03299752154937975,0.008644689006994324,0.002962779351164246,0.0014664744520191675,133.0469841822805,156.07305981494693,119.34110775420179,123.47145419083716,0.0046931409796298375,0.02842176960220655
logistic_regression_l2,NONOVERLAP_OFFSET_00,best_fold_by_roc_auc,fold_2020,8721.0,4520.0,4201.0,0.5182891870198372,0.5492489393418186,0.5481956466328076,0.5753415748041448,,0.5840244674288846,1.1268312788600228,0.09650719577194158,0.5636481521504214,0.5769911504424778,0.570241609270799,0.5194001428231374,0.5329750854909624,0.6841660228940893,0.24553608425374798,2182.0,2019.0,1912.0,2608.0,0.5052131967550051,0.5305584221992891
logistic_regression_l2,NONOVERLAP_OFFSET_00,worst_fold_by_roc_auc,fold_2021,8712.0,4390.0,4322.0,0.5039026629935721,0.5286960514233241,0.5281584181793841,0.5405245082899484,,0.5417835009847767,1.075174911293707,0.05686073851039803,0.5286405808793868,0.5970387243735763,0.5607616602481813,0.45927811198519203,0.5287693127330847,0.6924544485180516,0.24963824011809488,1985.0,2337.0,1769.0,2621.0,0.5147052288548276,0.5691000918273645
