open_time,first_trade_time,last_trade_time,minute_first_offset_ms,minute_last_offset_ms,covered_duration_ms,has_trade_in_first_1s,has_trade_in_first_5s,has_trade_in_last_1s,has_trade_in_last_5s,agg_trade_count,first_agg_trade_id,last_agg_trade_id,agg_base_volume,agg_quote_volume,agg_active_buy_base_volume,agg_active_sell_base_volume,agg_active_buy_quote_volume,agg_active_sell_quote_volume,active_buy_base_ratio,active_buy_quote_ratio,trade_flow_imbalance_base,trade_flow_imbalance_quote,first_trade_price,last_trade_price,trade_high,trade_low,trade_vwap,active_buy_vwap,active_sell_vwap,trade_price_std_volume_weighted,trade_price_range_ratio,mean_trade_base_size,median_trade_base_size,p90_trade_base_size,p99_trade_base_size,max_trade_base_size,mean_trade_quote_size,median_trade_quote_size,p90_trade_quote_size,p99_trade_quote_size,max_trade_quote_size,vwap_first_1s,vwap_first_2s,vwap_first_5s,vwap_first_10s,vwap_last_1s,vwap_last_5s,first_1s_trade_count,first_5s_trade_count,first_10s_trade_count,last_1s_trade_count,last_5s_trade_count,internal_missing_agg_trade_id_count,id_gap_event_count,maximum_internal_id_gap,has_internal_id_gap,cross_minute_missing_agg_trade_id_count,cross_minute_id_gap_event_count,maximum_cross_minute_id_gap,has_any_id_gap,is_file_first_minute,is_file_last_minute,is_boundary_partial_minute,kline_open,kline_high,kline_low,kline_close,kline_base_volume,kline_quote_volume,kline_number_of_trades,kline_taker_buy_base_volume,kline_taker_buy_quote_volume,kline_continuity_segment_id,join_status,kline_vwap,base_volume_abs_error,base_volume_relative_error,base_volume_signed_relative_error,quote_volume_abs_error,quote_volume_relative_error,quote_volume_signed_relative_error,active_buy_base_abs_error,active_buy_base_relative_error,active_buy_quote_abs_error,active_buy_quote_relative_error,agg_to_kline_trade_count_ratio,trade_count_difference,first_price_vs_open_relative_error,last_price_vs_close_relative_error,high_relative_error,low_relative_error,agg_vwap_vs_kline_vwap_relative_error,first_price_minus_open_bps,last_price_minus_close_bps,agg_vwap_minus_kline_vwap_bps,high_minus_kline_high_bps,low_minus_kline_low_bps,vwap_first_1s_minus_open_bps,vwap_first_5s_minus_open_bps,vwap_first_10s_minus_open_bps,vwap_last_5s_minus_close_bps,max_abs_price_error_bps,volume_match_good,volume_match_warning,volume_match_severe,price_match_good,price_match_warning,price_match_severe,is_reliable_overlap_minute,open_time_utc
1662317160000,1662317160001,1662317165068,1,5068,5067,True,True,False,False,369,1500873871,1500874239,11.79795,233981.196671,3.6716,8.12635,72813.9587336,161167.2379374,0.3112066079276485,0.31119577029936896,-0.37758678414470315,-0.377608459401262,19837.57,19830.9,19837.57,19829.44,19832.360424565286,19831.669771652683,19832.672471330916,1.8251896792304971,0.000409936075482514,0.031972764227642274,0.01201,0.07565,0.2863591999999995,0.66322,634.0953839322493,238.1689889,1500.3681143000001,5679.155043983989,13152.3224522,19834.136425787965,19833.664563520364,19832.460927050568,19832.360424565286,,,155,352,369,0,0,0,0,0,False,0,0,0,False,False,True,True,19837.57,19837.57,19821.75,19827.41,86.10761,1707303.9387615,2400,36.38424,721420.9739104,33,both,19827.56156815292,74.30966,0.8629859776621369,-0.8629859776621369,1473322.7420905,0.8629528162157625,-0.8629528162157625,32.71264,0.8990881766391163,648607.0151768,0.8990686972421689,0.15375,-2031,0.0,0.00017601895557723378,0.0,0.0003879576727583937,0.00024202958068601256,0.0,1.7601895557723377,2.4202958068601257,0.0,3.8795767275839372,-1.7308441568371165,-2.5754530163884586,-2.6261157161455615,,3.8795767275839372,False,False,True,False,True,False,False,2022-09-04T18:46:00+00:00
1662194580000,1662194580001,1662194639999,1,59999,59998,True,True,True,True,1978,1496181943,1496183978,93.23429,1848169.2280243,41.85005,51.38424,829615.5057638,1018553.7222605,0.4488697237893913,0.4488850334612822,-0.10226055242121751,-0.10222993307743558,19819.45,19820.59,19828.23,19818.01,19822.848739710465,19823.52484080186,19822.298087127492,2.5723180859660775,0.0005155666642165196,0.04713563700707786,0.009,0.10073799999999998,0.7783390000000001,3.61871,934.3626026412032,178.39305000000002,1997.0032881199995,15429.798345047002,71716.5718317,19820.36887286159,19822.731907755377,19822.834122526936,19824.93029562885,19821.024830166956,19821.302658436125,68,225,492,59,143,58,1,58,True,0,0,0,True,False,False,False,19819.45,19828.23,19814.51,19820.59,101.76393,2017198.4602937,2446,41.85005,829615.5057638,33,both,19822.332532693068,8.52964,0.0838179107273078,-0.0838179107273078,169029.23226940003,0.08379405179834895,-0.08379405179834895,0.0,0.0,0.0,0.0,0.8086672117743254,-468,0.0,0.0,0.0,0.00017663823127596898,2.6041688915570803e-05,0.0,0.0,0.26041688915570804,0.0,1.7663823127596898,0.4636217763803587,1.7074754985306067,2.7651098435363597,0.3595546026253061,1.7663823127596898,False,False,True,False,True,False,False,2022-09-03T08:43:00+00:00
1662186180000,1662186180001,1662186239999,1,59999,59998,True,True,True,True,7712,1495789218,1495797020,388.61567,7710736.5299022,147.3605,241.25517,2923864.6881478,4786871.8417544,0.37919340720357464,0.37919395596115446,-0.2416131855928506,-0.24161208807769102,19856.01,19849.3,19856.75,19823.38,19841.548154510085,19841.57686861676,19841.530615714473,6.936881050645455,0.001681824409070308,0.050391036047717844,0.014145,0.1,0.50374,15.60485,999.8361682964471,280.6360617,1984.2051000000001,9997.148823847,309756.2725,19850.352905003092,19850.526217720268,19845.987678432935,19844.64963000952,19848.920993374293,19848.05151701947,535,1659,2603,73,368,91,5,28,True,0,0,0,True,False,False,False,19856.01,19860.04,19823.38,19849.3,394.2026,7821627.4537452,9336,150.58647,2987904.4890431,33,both,19841.643494348336,5.586929999999995,0.014172737571999766,-0.014172737571999766,110890.92384300008,0.014177474508825219,-0.014177474508825219,3.2259699999999896,0.021422708162293663,64039.80089529976,0.02143301471989455,0.8260497000856898,-1624,0.0,0.0,0.00016565928366714633,0.0,4.805037358867561e-06,0.0,0.0,-0.04805037358867561,-1.6565928366714633,0.0,-2.8490593008899476,-5.047500261665383,-5.721376042053726,-0.6289808610524974,1.6565928366714633,False,True,False,False,True,False,False,2022-09-03T06:23:00+00:00
1662150960000,1662150960000,1662151019998,0,59998,59998,True,True,True,True,2056,1494566248,1494568449,109.3313,2177908.3861695,57.64988,51.68142,1148412.397904,1029495.9882654999,0.5272952942112643,0.5273005996013564,0.05459058842252859,0.054601199202713,19922.15,19922.97,19926.83,19916.16,19920.264244269485,19920.464672328893,19920.040669654587,1.504763628815387,0.0005356354649297064,0.05317670233463035,0.01206,0.1,0.6451270000000005,4.0984,1059.2939621446985,240.24738059999999,1992.0565000000001,12850.60224000001,81640.128,19921.865635476894,19922.34649171231,19922.37225212811,19920.390327963192,19923.44122906516,19922.05291669497,61,126,371,37,93,146,1,146,True,0,0,0,True,False,False,False,19922.15,19929.79,19916.16,19922.97,147.85049,2945473.7454828,2465,96.14907,1915579.3592173,33,both,19921.974864491825,38.51919000000001,0.26052798337022764,-0.26052798337022764,767565.3593132999,0.2605914788717583,-0.2605914788717583,38.49918999999999,0.40041146523830123,767166.9613133001,0.4004882165919569,0.8340770791075051,-409,0.0,0.0,0.00014852138431961033,0.0,8.586599641731864e-05,0.0,0.0,-0.8586599641731865,-1.4852138431961033,0.0,-0.14273786870784383,0.11156031257035853,-0.8832741630844092,-0.4603145540199309,1.4852138431961033,False,False,True,False,True,False,False,2022-09-02T20:36:00+00:00
1662127920000,1662127920002,1662127979999,2,59999,59997,True,True,True,True,6475,1492787984,1492794531,301.70165000000003,6128678.2215683,173.03923,128.66242,3515007.7233319,2613670.4982364,0.5735441950682072,0.5735343896766741,0.14708839013641456,0.14706877935334836,20309.48,20320.11,20330.47,20292.86,20313.704686627665,20313.357400699828,20314.171754552728,9.298949906069137,0.0018514594250628698,0.046594849420849425,0.01223,0.1,0.5948920000000004,2.91085,946.5140110530193,248.35412079999998,2031.9042000000002,12087.102659630005,59097.997860999996,20308.231112477624,20304.207110477175,20302.792594078564,20301.32515898415,20319.2082916167,20319.906200671663,117,727,1123,120,547,73,4,57,True,0,0,0,True,False,False,False,20309.48,20333.39,20292.86,20320.11,323.81992,6578348.2715144,7463,193.90766,3939300.3096689,33,both,20314.83508338338,22.118269999999995,0.0683042290912801,-0.0683042290912801,449670.0499460995,0.06835607228234833,-0.06835607228234833,20.86842999999999,0.10762045192025932,424292.58633700013,0.10770760109240367,0.8676135602304703,-988,0.0,0.0,0.00014360615716308269,0.0,5.564390511044743e-05,0.0,0.0,-0.5564390511044743,-1.436061571630827,0.0,-0.6149283597488948,-3.2927509327836706,-4.015287942305885,-0.10029440211567836,1.436061571630827,False,False,True,False,True,False,False,2022-09-02T14:12:00+00:00
1662139260000,1662139260000,1662139319999,0,59999,59999,True,True,True,True,9177,1493657093,1493666534,872.24805,17491831.6976747,502.69101,369.55704,10084066.2507734,7407765.4469013,0.5763165764601021,0.5765014450781584,0.15263315292020432,0.15300289015631666,20092.0,20019.59,20092.52,20018.79,20053.735514427,20060.16827468906,20044.98533406724,19.882757225034734,0.0036766217419670734,0.09504718862373325,0.01285,0.10379599999999993,1.056592799999994,61.21525,1906.0511820502015,257.4029664,2082.945423999998,21222.890979215885,1228834.9285,20090.956547695863,20074.882137414603,20074.962512824794,20074.75472943897,20020.650549263053,20023.858976164764,122,856,1235,166,588,265,6,247,True,0,0,0,True,False,False,False,20092.0,20092.52,20018.79,20019.59,957.84018,19210577.299065,10972,503.30383,10096344.3270103,33,both,20056.140575628182,85.59213,0.08935951089460456,-0.08935951089460456,1718745.6013903022,0.08946871167031276,-0.08946871167031276,0.6128199999999993,0.001217594549201025,12278.076236899942,0.0012160912741508777,0.836401749908859,-1795,0.0,0.0,0.0,0.0,0.0001199164511293916,0.0,0.0,-1.199164511293916,0.0,0.0,-0.5193372009440252,-8.479736798330917,-8.583152777737578,2.132399397172192,1.199164511293916,False,False,True,False,True,False,False,2022-09-02T17:21:00+00:00
1662295560000,1662295560002,1662295619998,2,59998,59996,True,True,True,True,2951,1499928528,1499931596,141.14405,2801097.7462432,69.00943,72.13462,1369508.721686,1431589.0245572,0.48892907635851457,0.4889185761270807,-0.02214184728297086,-0.02216284774583872,19850.5,19850.28,19852.47,19835.0,19845.666510513194,19845.240305361167,19846.0742505776,3.9435921043429745,0.0008802929340139055,0.04782922738054896,0.0102,0.08564,0.592575,4.86357,949.2028960498814,202.45011,1700.0370708,11760.6219255,96541.86450000001,19850.4810645803,19850.50883948192,19851.243969118554,19847.87496365043,19851.017172242002,19850.653036047654,67,204,615,72,185,118,2,115,True,0,0,0,True,False,False,False,19850.5,19852.47,19832.64,19850.28,156.21928,3100116.980622,3656,69.09156,1371138.7762987,33,both,19844.650292985603,15.075230000000005,0.09650044475944329,-0.09650044475944329,299019.23437880026,0.09645417777712562,-0.09645417777712562,0.08213000000000648,0.0011887124852877323,1630.054612699896,0.001188832699415097,0.8071663019693655,-705,0.0,0.0,0.0,0.00011899575649034028,5.1208638730717394e-05,0.0,0.0,0.5120863873071739,0.0,1.1899575649034029,-0.009539013979052888,0.37478608526417484,-1.3224031382438823,0.18792482909800282,1.1899575649034029,False,False,True,False,True,False,False,2022-09-04T12:46:00+00:00
1662273480000,1662273480001,1662273539999,1,59999,59998,True,True,True,True,5429,1498931204,1498936711,366.01839,7210729.7837501,138.2464,227.77199,2723850.7682875,4486879.0154626,0.37770342632237686,0.3777496661192178,-0.24459314735524626,-0.24450066776156432,19706.48,19707.05,19715.71,19681.18,19700.457629328677,19702.869429420945,19698.993785243743,7.46888891194658,0.0017527511619117397,0.06741911770123411,0.01541,0.12971399999999997,0.7036172000000065,49.18305,1328.187471679886,303.6790142,2556.4580091599996,13858.74990914013,968906.0850000001,19708.075731338933,19696.64072740677,19696.033580010117,19697.57781396995,19706.81488897594,19707.37017685766,79,1968,2791,97,229,79,2,76,True,0,0,0,True,False,False,False,19706.48,19715.71,19679.01,19707.05,386.13493,7606645.4477699,7036,139.48188,2748169.3263075,33,both,19699.449225611108,20.116539999999986,0.052097177533252395,-0.052097177533252395,395915.6640197998,0.05204865492131929,-0.05204865492131929,1.2354799999999955,0.008857637995702348,24318.55801999988,0.00884900278421884,0.7716031836270608,-1607,0.0,0.0,0.0,0.00011026977474994382,5.1189437126916736e-05,0.0,0.0,0.5118943712691674,0.0,1.1026977474994382,0.8097495539201048,-5.301007582218132,-4.51739023410018,0.16246818151974207,1.1026977474994382,False,False,True,False,True,False,False,2022-09-04T06:38:00+00:00
1662142140000,1662142140000,1662142199999,0,59999,59999,True,True,True,True,7983,1493970898,1493978944,529.50949,10523921.7639318,265.08834,264.42115,5268060.9517625,5255860.8121693,0.500630007594387,0.5005796384592583,0.0012600151887740578,0.001159276918516523,19842.08,19878.26,19886.0,19840.4,19874.850144672193,19872.850506221814,19876.85482862963,8.479302043599532,0.00229435692184187,0.0663296367280471,0.01444,0.10860400000000003,0.9012906000000022,12.51768,1318.291590120481,286.9571672,2158.5953534800005,17918.75121082204,248851.4784,19841.042339087075,19842.465613484976,19845.45090877222,19853.70145031101,19878.069459834307,19878.569173951004,79,325,1209,135,482,64,5,52,True,0,0,0,True,False,False,False,19842.08,19887.94,19840.4,19878.26,545.62614,10844437.8139983,9088,281.08204,5586134.0948741,33,both,19875.21678121635,16.116649999999936,0.02953789933891352,-0.02953789933891352,320516.0500665009,0.02955580137614602,-0.02955580137614602,15.99369999999999,0.05690046934339878,318073.1431115996,0.05693976150759917,0.8784110915492958,-1105,0.0,0.0,9.754655333828896e-05,0.0,1.844692051375716e-05,0.0,0.0,-0.18446920513757162,-0.9754655333828895,0.0,-0.5229597466228816,1.6988686529940364,5.856971804876071,0.15553370919059564,0.9754655333828895,False,True,False,True,False,False,False,2022-09-02T18:09:00+00:00
1662249540000,1662249540004,1662249599999,4,59999,59995,True,True,True,True,1297,1498216029,1498217375,54.57979,1082438.2507573,31.65343,22.92636,627766.6002646,454671.6504927,0.5799478158490533,0.5799560389014332,0.15989563169810658,0.15991207780286645,19830.97,19831.9,19836.46,19827.32,19832.217213684773,19832.49841374537,19831.828972968233,1.9584793398246791,0.00046086627135631447,0.04208156515034696,0.00986,0.1,0.4519579999999994,1.84622,834.5707407535082,195.56639520000002,1983.0794,8962.394153459987,36610.4318268,19832.941993693228,19832.799974958263,19832.777216828035,19831.669379547122,19832.41447637976,19832.126975084142,84,155,281,36,75,50,1,50,True,0,0,0,True,False,False,False,19830.97,19836.46,19825.39,19831.9,60.78719,1205507.0298892,1517,31.65343,627766.6002646,33,both,19831.596589498546,6.2074,0.10211690982919262,-0.10211690982919262,123068.77913190005,0.1020888108327427,-0.1020888108327427,0.0,0.0,0.0,0.0,0.8549769281476599,-220,0.0,0.0,0.0,9.734991341912019e-05,3.12947161579517e-05,0.0,0.0,0.312947161579517,0.0,0.9734991341912018,0.9944010268922687,0.9113103534694182,0.35267036716850986,0.1144494900340243,0.9734991341912018,False,False,True,True,False,False,False,2022-09-03T23:59:00+00:00
